Upington, South Africa
-28.43, 21.27
 
     Day [#],    Time [h],      Ta [K],    Pa [kPa],   Ib [W/m2],   Ig [W/m2],   Id [W/m2]
     1.00000,     0.00000,   291.95000,    92.57715,     0.00000,     0.00000,     0.00000
     1.00000,     1.00000,   296.65000,    92.57715,     0.00000,     0.00000,     0.00000
     1.00000,     2.00000,   301.10000,    92.57715,     0.00000,     0.00000,     0.00000
     1.00000,     3.00000,   300.65000,    92.57715,     0.00000,     0.00000,     0.00000
     1.00000,     4.00000,   300.20000,    92.57715,     0.00000,     0.00000,     0.00000
     1.00000,     5.00000,   299.75000,    92.57715,     0.00000,     0.00000,     0.00000
     1.00000,     6.00000,   299.30000,    92.57715,     0.00000,     0.00000,     0.00000
     1.00000,     7.00000,   300.05000,    92.57715,   197.00000,    90.00000,    58.71162
     1.00000,     8.00000,   301.95000,    92.57715,   378.00000,   267.00000,   127.49585
     1.00000,     9.00000,   303.95000,    92.57715,   498.00000,   483.00000,   200.70814
     1.00000,    10.00000,   306.20000,    92.57715,   638.00000,   712.00000,   240.69496
     1.00000,    11.00000,   308.50000,    92.57715,   816.00000,   914.00000,   201.66433
     1.00000,    12.00000,   310.55000,    92.57715,   799.00000,  1011.00000,   243.62741
     1.00000,    13.00000,   312.20000,    92.57715,   774.00000,  1048.00000,   277.76914
     1.00000,    14.00000,   313.45000,    92.57715,   787.00000,  1026.00000,   258.88211
     1.00000,    15.00000,   314.30000,    92.57715,   792.00000,   937.00000,   223.70453
     1.00000,    16.00000,   314.15000,    92.57715,   781.00000,   788.00000,   180.50136
     1.00000,    17.00000,   314.10000,    92.57715,   825.00000,   618.00000,   110.81583
     1.00000,    18.00000,   314.10000,    92.57715,   712.00000,   385.00000,    84.17737
     1.00000,    19.00000,   313.00000,    92.57715,   558.00000,   173.00000,    53.50167
     1.00000,    20.00000,   311.60000,    92.57715,     0.00000,     0.00000,     0.00000
     1.00000,    21.00000,   310.05000,    92.57715,     0.00000,     0.00000,     0.00000
     1.00000,    22.00000,   308.45000,    92.57715,     0.00000,     0.00000,     0.00000
     1.00000,    23.00000,   306.90000,    92.57715,     0.00000,     0.00000,     0.00000
     1.00000,     0.00000,   305.35000,    92.57715,     0.00000,     0.00000,     0.00000
     2.00000,     1.00000,   303.60000,    92.57715,     0.00000,     0.00000,     0.00000
     2.00000,     2.00000,   301.60000,    92.57715,     0.00000,     0.00000,     0.00000
     2.00000,     3.00000,   299.50000,    92.57715,     0.00000,     0.00000,     0.00000
     2.00000,     4.00000,   297.45000,    92.57715,     0.00000,     0.00000,     0.00000
     2.00000,     5.00000,   295.40000,    92.57715,     0.00000,     0.00000,     0.00000
     2.00000,     6.00000,   293.30000,    92.57715,     0.00000,     0.00000,     0.00000
     2.00000,     7.00000,   293.15000,    92.57715,    90.00000,    80.00000,    65.90396
     2.00000,     8.00000,   295.05000,    92.57715,   285.00000,   253.00000,   148.39927
     2.00000,     9.00000,   297.30000,    92.57715,   546.00000,   502.00000,   193.46999
     2.00000,    10.00000,   299.85000,    92.57715,   743.00000,   743.00000,   195.19704
     2.00000,    11.00000,   302.35000,    92.57715,   862.00000,   929.00000,   177.40485
     2.00000,    12.00000,   304.60000,    92.57715,   927.00000,  1053.00000,   163.26291
     2.00000,    13.00000,   306.45000,    92.57715,   955.00000,  1111.00000,   160.82857
     2.00000,    14.00000,   307.85000,    92.57715,   967.00000,  1091.00000,   148.22436
     2.00000,    15.00000,   308.75000,    92.57715,   917.00000,   991.00000,   164.61750
     2.00000,    16.00000,   309.00000,    92.57715,   778.00000,   793.00000,   187.19811
     2.00000,    17.00000,   308.65000,    92.57715,   796.00000,   611.00000,   120.86006
     2.00000,    18.00000,   307.75000,    92.57715,   719.00000,   416.00000,   111.46988
     2.00000,    19.00000,   306.20000,    92.57715,   270.00000,   143.00000,    84.91127
     2.00000,    20.00000,   304.25000,    92.57715,     0.00000,     0.00000,     0.00000
     2.00000,    21.00000,   302.70000,    92.57715,     0.00000,     0.00000,     0.00000
     2.00000,    22.00000,   301.60000,    92.57715,     0.00000,     0.00000,     0.00000
     2.00000,    23.00000,   300.50000,    92.57715,     0.00000,     0.00000,     0.00000
     2.00000,     0.00000,   299.40000,    92.57715,     0.00000,     0.00000,     0.00000
     3.00000,     1.00000,   298.55000,    92.57715,     0.00000,     0.00000,     0.00000
     3.00000,     2.00000,   297.90000,    92.57715,     0.00000,     0.00000,     0.00000
     3.00000,     3.00000,   297.25000,    92.57715,     0.00000,     0.00000,     0.00000
     3.00000,     4.00000,   296.65000,    92.57715,     0.00000,     0.00000,     0.00000
     3.00000,     5.00000,   296.00000,    92.57715,     0.00000,     0.00000,     0.00000
     3.00000,     6.00000,   295.35000,    92.57715,     0.00000,     0.00000,     0.00000
     3.00000,     7.00000,   296.30000,    92.57715,   368.00000,   103.00000,    46.19035
     3.00000,     8.00000,   298.40000,    92.57715,   248.00000,   247.00000,   156.49369
     3.00000,     9.00000,   300.40000,    92.57715,   462.00000,   469.00000,   208.77043
     3.00000,    10.00000,   302.45000,    92.57715,   339.00000,   583.00000,   333.55476
     3.00000,    11.00000,   304.15000,    92.57715,   297.00000,   687.00000,   428.35375
     3.00000,    12.00000,   305.40000,    92.57715,   177.00000,   654.00000,   484.22632
     3.00000,    13.00000,   306.35000,    92.57715,   273.00000,   762.00000,   490.43594
     3.00000,    14.00000,   307.30000,    92.57715,   340.00000,   803.00000,   471.45263
     3.00000,    15.00000,   307.90000,    92.57715,   232.00000,   671.00000,   461.80406
     3.00000,    16.00000,   308.00000,    92.57715,   253.00000,   559.00000,   361.80004
     3.00000,    17.00000,   308.10000,    92.57715,   779.00000,   674.00000,   193.59802
     3.00000,    18.00000,   307.90000,    92.57715,   563.00000,   378.00000,   138.98929
     3.00000,    19.00000,   306.85000,    92.57715,   438.00000,   156.00000,    61.36494
     3.00000,    20.00000,   305.35000,    92.57715,     0.00000,     0.00000,     0.00000
     3.00000,    21.00000,   303.85000,    92.57715,     0.00000,     0.00000,     0.00000
     3.00000,    22.00000,   302.45000,    92.57715,     0.00000,     0.00000,     0.00000
     3.00000,    23.00000,   301.05000,    92.57715,     0.00000,     0.00000,     0.00000
     3.00000,     0.00000,   299.65000,    92.57715,     0.00000,     0.00000,     0.00000
     4.00000,     1.00000,   298.40000,    92.57715,     0.00000,     0.00000,     0.00000
     4.00000,     2.00000,   297.25000,    92.57715,     0.00000,     0.00000,     0.00000
     4.00000,     3.00000,   296.05000,    92.57715,     0.00000,     0.00000,     0.00000
     4.00000,     4.00000,   294.85000,    92.57715,     0.00000,     0.00000,     0.00000
     4.00000,     5.00000,   293.65000,    92.57715,     0.00000,     0.00000,     0.00000
     4.00000,     6.00000,   292.45000,    92.57715,     0.00000,     0.00000,     0.00000
     4.00000,     7.00000,   292.95000,    92.57715,   330.00000,    98.00000,    47.81368
     4.00000,     8.00000,   295.40000,    92.57715,   746.00000,   338.00000,    67.32584
     4.00000,     9.00000,   298.15000,    92.57715,   939.00000,   586.00000,    58.81284
     4.00000,    10.00000,   300.85000,    92.57715,   980.00000,   802.00000,    82.33947
     4.00000,    11.00000,   303.30000,    92.57715,   983.00000,   966.00000,   110.99772
     4.00000,    12.00000,   305.35000,    92.57715,   906.00000,  1043.00000,   174.57343
     4.00000,    13.00000,   306.95000,    92.57715,   894.00000,  1086.00000,   196.90036
     4.00000,    14.00000,   308.15000,    92.57715,   916.00000,  1070.00000,   176.61861
     4.00000,    15.00000,   308.95000,    92.57715,   938.00000,   987.00000,   140.73343
     4.00000,    16.00000,   309.25000,    92.57715,   821.00000,   820.00000,   179.46527
     4.00000,    17.00000,   308.85000,    92.57715,   670.00000,   580.00000,   166.22261
     4.00000,    18.00000,   307.75000,    92.57715,   571.00000,   364.00000,   121.06579
     4.00000,    19.00000,   306.15000,    92.57715,   279.00000,   140.00000,    79.48247
     4.00000,    20.00000,   304.25000,    92.57715,     0.00000,     0.00000,     0.00000
     4.00000,    21.00000,   302.60000,    92.57715,     0.00000,     0.00000,     0.00000
     4.00000,    22.00000,   301.35000,    92.57715,     0.00000,     0.00000,     0.00000
     4.00000,    23.00000,   300.15000,    92.57715,     0.00000,     0.00000,     0.00000
     4.00000,     0.00000,   298.90000,    92.57715,     0.00000,     0.00000,     0.00000
     5.00000,     1.00000,   297.80000,    92.57715,     0.00000,     0.00000,     0.00000
     5.00000,     2.00000,   296.90000,    92.57715,     0.00000,     0.00000,     0.00000
     5.00000,     3.00000,   296.00000,    92.57715,     0.00000,     0.00000,     0.00000
     5.00000,     4.00000,   295.10000,    92.57715,     0.00000,     0.00000,     0.00000
     5.00000,     5.00000,   294.20000,    92.57715,     0.00000,     0.00000,     0.00000
     5.00000,     6.00000,   293.25000,    92.57715,     0.00000,     0.00000,     0.00000
     5.00000,     7.00000,   293.80000,    92.57715,   316.00000,    92.00000,    44.68175
