Calama, Chile
-22.50 , -68.90
      
     Day [#],     Time [h],       Ta [K],     Pa [kPa],    Ib [W/m2],    Ig [W/m2],    Id [W/m2],
      1.0000 ,       0.0000 ,     289.1000 ,      76.5852 ,       0.0000 ,       0.0000 ,       0.0000 ,
      1.0000 ,       1.0000 ,     288.5000 ,      76.5852 ,       0.0000 ,       0.0000 ,       0.0000 ,
      1.0000 ,       2.0000 ,     288.0500 ,      76.5852 ,       0.0000 ,       0.0000 ,       0.0000 ,
      1.0000 ,       3.0000 ,     287.6500 ,      76.5852 ,       0.0000 ,       0.0000 ,       0.0000 ,
      1.0000 ,       4.0000 ,     287.5000 ,      76.5852 ,       0.0000 ,       0.0000 ,       0.0000 ,
      1.0000 ,       5.0000 ,     287.7000 ,      76.5852 ,     389.0000 ,      81.0000 ,      34.9618 ,
      1.0000 ,       6.0000 ,     288.3000 ,      76.5852 ,     627.0000 ,     287.0000 ,      74.2674 ,
      1.0000 ,       7.0000 ,     289.2000 ,      76.5852 ,     680.0000 ,     509.0000 ,     136.8255 ,
      1.0000 ,       8.0000 ,     290.1500 ,      76.5852 ,     691.0000 ,     707.0000 ,     203.7720 ,
      1.0000 ,       9.0000 ,     291.1000 ,      76.5852 ,     726.0000 ,     870.0000 ,     238.5323 ,
      1.0000 ,      10.0000 ,     292.0000 ,      76.5852 ,     713.0000 ,     965.0000 ,     278.9089 ,
      1.0000 ,      11.0000 ,     292.7000 ,      76.5852 ,     673.0000 ,    1000.0000 ,     327.4258 ,
      1.0000 ,      12.0000 ,     293.2500 ,      76.5852 ,     678.0000 ,     975.0000 ,     311.5199 ,
      1.0000 ,      13.0000 ,     293.6000 ,      76.5852 ,     663.0000 ,     888.0000 ,     290.4204 ,
      1.0000 ,      14.0000 ,     293.7500 ,      76.5852 ,     707.0000 ,     747.0000 ,     200.5880 ,
      1.0000 ,      15.0000 ,     293.7000 ,      76.5852 ,     687.0000 ,     564.0000 ,     150.4682 ,
      1.0000 ,      16.0000 ,     293.3500 ,      76.5852 ,     604.0000 ,     347.0000 ,     105.2729 ,
      1.0000 ,      17.0000 ,     292.8000 ,      76.5852 ,     420.0000 ,     132.0000 ,      55.8022 ,
      1.0000 ,      18.0000 ,     292.1000 ,      76.5852 ,       0.0000 ,       1.0000 ,       1.0000 ,
      1.0000 ,      19.0000 ,     291.3000 ,      76.5852 ,       0.0000 ,       0.0000 ,       0.0000 ,
      1.0000 ,      20.0000 ,     290.5000 ,      76.5852 ,       0.0000 ,       0.0000 ,       0.0000 ,
      1.0000 ,      21.0000 ,     289.7000 ,      76.5852 ,       0.0000 ,       0.0000 ,       0.0000 ,
      1.0000 ,      22.0000 ,     288.9000 ,      76.5359 ,       0.0000 ,       0.0000 ,       0.0000 ,
      1.0000 ,      23.0000 ,     288.2500 ,      76.4866 ,       0.0000 ,       0.0000 ,       0.0000 ,
      1.0000 ,       0.0000 ,     287.7500 ,      76.4866 ,       0.0000 ,       0.0000 ,       0.0000 ,
      2.0000 ,       1.0000 ,     287.3500 ,      76.4866 ,       0.0000 ,       0.0000 ,       0.0000 ,
      2.0000 ,       2.0000 ,     287.0500 ,      76.4866 ,       0.0000 ,       0.0000 ,       0.0000 ,
      2.0000 ,       3.0000 ,     286.8000 ,      76.4866 ,       0.0000 ,       0.0000 ,       0.0000 ,
      2.0000 ,       4.0000 ,     286.6500 ,      76.4866 ,       0.0000 ,       0.0000 ,       0.0000 ,
      2.0000 ,       5.0000 ,     286.8500 ,      76.4866 ,     553.0000 ,     101.0000 ,      36.7494 ,
      2.0000 ,       6.0000 ,     287.6500 ,      76.4866 ,     857.0000 ,     364.0000 ,      74.9408 ,
      2.0000 ,       7.0000 ,     288.8500 ,      76.4866 ,     994.0000 ,     648.0000 ,     105.6797 ,
      2.0000 ,       8.0000 ,     290.1000 ,      76.4866 ,    1043.0000 ,     898.0000 ,     139.8478 ,
      2.0000 ,       9.0000 ,     291.3000 ,      76.4866 ,     884.0000 ,    1094.0000 ,     325.9436 ,
      2.0000 ,      10.0000 ,     292.0000 ,      76.4372 ,     240.0000 ,     681.0000 ,     450.1777 ,
      2.0000 ,      11.0000 ,     292.2000 ,      76.3879 ,     209.0000 ,     711.0000 ,     502.1429 ,
      2.0000 ,      12.0000 ,     292.3500 ,      76.3879 ,     208.0000 ,     693.0000 ,     489.3779 ,
      2.0000 ,      13.0000 ,     292.4000 ,      76.3879 ,     151.0000 ,     620.0000 ,     483.7896 ,
      2.0000 ,      14.0000 ,     292.3000 ,      76.3879 ,     160.0000 ,     523.0000 ,     399.1813 ,
      2.0000 ,      15.0000 ,     292.0500 ,      76.3879 ,     152.0000 ,     397.0000 ,     305.3255 ,
      2.0000 ,      16.0000 ,     291.6500 ,      76.3879 ,     127.0000 ,     247.0000 ,     196.0151 ,
      2.0000 ,      17.0000 ,     291.1000 ,      76.3879 ,      95.0000 ,      97.0000 ,      79.6518 ,
      2.0000 ,      18.0000 ,     290.4500 ,      76.3879 ,       0.0000 ,       1.0000 ,       1.0000 ,
      2.0000 ,      19.0000 ,     289.8500 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      2.0000 ,      20.0000 ,     289.3000 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      2.0000 ,      21.0000 ,     288.7000 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      2.0000 ,      22.0000 ,     288.1000 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      2.0000 ,      23.0000 ,     287.7000 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      2.0000 ,       0.0000 ,     287.4500 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      3.0000 ,       1.0000 ,     287.2000 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      3.0000 ,       2.0000 ,     287.0000 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      3.0000 ,       3.0000 ,     286.8500 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      3.0000 ,       4.0000 ,     286.8000 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      3.0000 ,       5.0000 ,     287.0500 ,      76.3879 ,     432.0000 ,      96.0000 ,      46.7581 ,
      3.0000 ,       6.0000 ,     287.7500 ,      76.3879 ,     608.0000 ,     303.0000 ,      99.1539 ,
      3.0000 ,       7.0000 ,     288.9500 ,      76.3879 ,     868.0000 ,     695.0000 ,     222.9320 ,
      3.0000 ,       8.0000 ,     290.4500 ,      76.3879 ,    1000.0000 ,     965.0000 ,     239.4769 ,
      3.0000 ,       9.0000 ,     291.9000 ,      76.3879 ,     838.0000 ,    1175.0000 ,     447.7077 ,
      3.0000 ,      10.0000 ,     292.6000 ,      76.3879 ,     132.0000 ,     586.0000 ,     459.1140 ,
      3.0000 ,      11.0000 ,     292.7000 ,      76.3879 ,     119.0000 ,     666.0000 ,     547.0879 ,
      3.0000 ,      12.0000 ,     292.8000 ,      76.3879 ,      91.0000 ,     608.0000 ,     518.8826 ,
      3.0000 ,      13.0000 ,     292.8000 ,      76.3879 ,     122.0000 ,     571.0000 ,     460.8621 ,
      3.0000 ,      14.0000 ,     292.6500 ,      76.3879 ,      53.0000 ,     436.0000 ,     394.9330 ,
      3.0000 ,      15.0000 ,     292.3500 ,      76.3879 ,      71.0000 ,     332.0000 ,     289.0969 ,
      3.0000 ,      16.0000 ,     291.9000 ,      76.3879 ,       0.0000 ,     128.0000 ,     128.0000 ,
      3.0000 ,      17.0000 ,     291.3000 ,      76.3879 ,      17.0000 ,      72.0000 ,      68.8764 ,
      3.0000 ,      18.0000 ,     290.7000 ,      76.3879 ,       0.0000 ,       1.0000 ,       1.0000 ,
      3.0000 ,      19.0000 ,     290.0500 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      3.0000 ,      20.0000 ,     289.3000 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      3.0000 ,      21.0000 ,     288.5500 ,      76.3879 ,       0.0000 ,       0.0000 ,       0.0000 ,
      3.0000 ,      22.0000 ,     287.8000 ,      76.4372 ,       0.0000 ,       0.0000 ,       0.0000 ,
      3.0000 ,      23.0000 ,     287.1000 ,      76.4866 ,       0.0000 ,       0.0000 ,       0.0000 ,
      3.0000 ,       0.0000 ,     286.5000 ,      76.4866 ,       0.0000 ,       0.0000 ,       0.0000 ,
