BARSTOW-DAGGETT, United States 
34.85, -116.8

Day [#],     Time [h],       Ta [K],     Pa [kPa],    Ib [W/m2],    Ig [W/m2]
1,0,9.9,950,0,0
1,1,9.9,950,0,0
1,2,9.3,950,0,0
1,3,8.7,950,0,0
1,4,8.4,950,0,0
1,5,8.1,950,0,0
1,6,7.9,950,0,0
1,7,8,950,0,0
1,8,9.6,950,474,74
1,9,12.5,950,758,242
1,10,15.7,950,885,400
1,11,18.6,950,945,513
1,12,21,950,967,570
1,13,22.6,950,962,558
1,14,23.4,950,933,482
1,15,23.5,950,852,352
1,16,22.3,950,405,184
1,17,20.2,950,0,11
1,18,18.8,950,0,0
1,19,17.4,950,0,0
1,20,16.1,950,0,0
1,21,14.7,950,0,0
1,22,13.4,950,0,0
1,23,12,950,0,0
1,0,10.6,950,0,0
2,1,9.1,950,0,0
2,2,7.4,950,0,0
2,3,5.7,950,0,0
2,4,4.8,950,0,0
2,5,3.9,950,0,0
2,6,3.3,950,0,0
2,7,3.2,950,0,0
2,8,4.6,950,515,76
2,9,7.3,950,778,252
2,10,10.2,950,902,418
2,11,12.9,950,962,535
2,12,14.9,950,981,590
2,13,16.3,950,977,579
2,14,17,950,950,504
2,15,16.9,949,870,370
2,16,15.6,949,426,196
2,17,13.5,949,0,12
2,18,12.5,949,0,0
2,19,11.5,949,0,0
2,20,10.5,949,0,0
2,21,9.5,949,0,0
2,22,8.5,949,0,0
2,23,7.5,949,0,0
2,0,6.5,948,0,0
3,1,5.9,948,0,0
3,2,5.4,948,0,0
3,3,4.8,948,0,0
3,4,4.6,948,0,0
3,5,4.3,948,0,0
3,6,4.2,948,0,0
3,7,4.2,948,0,0
3,8,5.6,948,331,65
3,9,8.3,948,641,222
3,10,11.1,947,692,353
3,11,13.7,947,780,465
3,12,15.7,947,750,502
3,13,17,947,704,485
3,14,17.5,947,531,388
3,15,17.4,947,493,288
3,16,16.3,947,301,157
3,17,14.5,947,0,8
3,18,13.5,947,0,0
3,19,12.5,948,0,0
3,20,11.5,948,0,0
3,21,10.5,948,0,0
3,22,9.5,948,0,0
3,23,8.5,948,0,0
3,0,7.5,948,0,0
4,1,6.4,948,0,0
4,2,5.2,948,0,0
4,3,4.1,948,0,0
4,4,3.5,948,0,0
4,5,2.9,948,0,0
4,6,2.5,948,0,0
4,7,2.4,948,0,0
4,8,3.8,949,439,70
4,9,6.6,949,743,238
4,10,9.6,949,880,398
4,11,12.3,949,939,512
4,12,14.5,949,961,568
4,13,16,949,961,561
4,14,16.7,949,942,495
4,15,16.8,949,871,371
4,16,15.7,949,432,203
4,17,13.6,949,0,17
4,18,12.5,949,0,0
4,19,11.5,949,0,0
4,20,10.5,948,0,0
4,21,9.4,948,0,0
4,22,8.4,948,0,0
4,23,7.3,948,0,0
4,0,6.3,948,0,0
5,1,5.5,948,0,0
5,2,4.6,948,0,0
5,3,3.8,948,0,0
5,4,3.4,948,0,0
5,5,2.9,948,0,0
5,6,2.6,948,0,0
5,7,2.6,948,0,0
5,8,4,948,285,67
5,9,6.5,948,586,215
5,10,9.3,948,722,359
5,11,11.8,948,797,471
5,12,14,947,861,532
5,13,15.4,947,824,519
5,14,16.1,947,730,435
5,15,16,947,651,317
5,16,14.9,947,324,167
5,17,13,947,0,11
5,18,12,947,0,0
5,19,11,947,0,0
5,20,10,947,0,0
5,21,9,947,0,0
5,22,8,947,0,0
5,23,7,947,0,0
5,0,6,947,0,0
6,1,5,947,0,0
6,2,4,947,0,0
6,3,3,946,0,0
6,4,2.5,946,0,0
6,5,2,946,0,0
6,6,1.7,946,0,0
6,7,1.6,946,0,0
6,8,2.7,946,226,54
6,9,4.4,946,192,159
6,10,7.2,946,535,346
6,11,9.6,946,679,444
6,12,11.6,946,678,492
6,13,12.7,946,494,445
6,14,13.3,946,576,404
6,15,13.2,946,499,290
6,16,12.3,946,280,159
6,17,10.5,946,0,10
6,18,9.7,946,0,0
6,19,8.9,946,0,0
6,20,8,946,0,0
6,21,7.2,946,0,0
6,22,6.4,946,0,0
6,23,5.5,946,0,0
6,0,4.7,946,0,0
7,1,4,946,0,0
7,2,3.4,946,0,0
7,3,2.7,947,0,0
7,4,2.4,947,0,0
7,5,2.1,947,0,0
7,6,1.9,947,0,0
7,7,1.9,947,0,0
7,8,3.3,947,265,64
7,9,5.8,947,484,204
7,10,8.6,947,682,354
7,11,11.1,947,674,442
7,12,13.1,947,704,497
7,13,14.6,947,747,501
7,14,15.4,947,716,436
7,15,15.5,947,741,345
7,16,14.6,947,373,180
7,17,12.7,947,0,14
7,18,11.6,947,0,0
7,19,10.6,947,0,0
7,20,9.5,947,0,0
7,21,8.5,947,0,0
7,22,7.4,947,0,0
7,23,6.4,947,0,0
7,0,5.3,947,0,0
8,1,4.2,947,0,0
8,2,3,947,0,0
8,3,1.9,947,0,0
8,4,1.3,947,0,0
8,5,0.7,947,0,0
8,6,0.3,948,0,0
8,7,0.2,948,0,0
8,8,1.7,948,457,72
8,9,4.4,948,739,239
8,10,7.3,948,856,392
8,11,9.9,948,881,494
8,12,11.9,948,893,547
8,13,13.4,948,918,549
8,14,14.1,948,893,480
8,15,14.1,948,823,356
8,16,13,948,414,192
8,17,11,947,0,14
8,18,9.9,947,0,0
8,19,8.8,947,0,0
8,20,7.8,947,0,0
8,21,6.7,947,0,0
8,22,5.6,947,0,0
8,23,4.6,947,0,0
8,0,3.5,947,0,0
9,1,2.6,947,0,0
9,2,1.7,947,0,0
9,3,0.8,947,0,0
9,4,0.3,947,0,0
9,5,-0.2,947,0,0
9,6,-0.5,947,0,0
9,7,-0.6,947,0,0
9,8,0.8,947,344,67
9,9,3.5,947,654,228
9,10,6.1,947,661,352
9,11,8.4,946,676,447
9,12,10.4,946,722,508
9,13,11.7,946,685,488
9,14,12.4,946,727,444
9,15,12.5,946,778,349
9,16,11.6,946,390,187
9,17,9.7,946,0,18
9,18,8.8,946,0,0
9,19,7.9,946,0,0
9,20,7.1,946,0,0
9,21,6.2,946,0,0
9,22,5.3,946,0,0
9,23,4.5,946,0,0
9,0,3.6,946,0,0
10,1,2.9,946,0,0
10,2,2.2,946,0,0
10,3,1.5,946,0,0
10,4,1.1,946,0,0
10,5,0.8,946,0,0
10,6,0.6,946,0,0
10,7,0.6,946,0,0
10,8,1.8,946,207,58
10,9,3.9,946,338,178
10,10,6.1,946,337,290
10,11,8.2,946,383,384
10,12,10.3,946,529,477
10,13,12.1,946,780,530
10,14,13.1,946,785,473
10,15,13.1,946,464,305
10,16,12.1,946,217,154
10,17,10.3,946,0,5
10,18,9.5,946,0,0
10,19,8.7,946,0,0
10,20,7.9,946,0,0
10,21,7.1,946,0,0
10,22,6.4,946,0,0
10,23,5.6,946,0,0
10,0,4.8,946,0,0
11,1,4,946,0,0
11,2,3.2,946,0,0
11,3,2.5,946,0,0
11,4,2.1,946,0,0
11,5,1.7,946,0,0
11,6,1.4,946,0,0
11,7,1.4,947,0,0
11,8,3,947,430,71
11,9,5.8,947,725,239
11,10,8.9,947,830,393
11,11,11.4,947,758,471
11,12,13.4,947,766,523
11,13,14.7,947,637,482
11,14,15.3,947,618,423
11,15,15.3,947,650,331
11,16,14.3,947,377,185
11,17,12.4,946,0,18
11,18,11.2,946,0,0
11,19,10,946,0,0
11,20,8.8,946,0,0
11,21,7.6,946,0,0
11,22,6.4,946,0,0
11,23,5.2,946,0,0
11,0,4,946,0,0
12,1,2.8,945,0,0
12,2,1.5,945,0,0
12,3,0.2,945,0,0
12,4,-0.6,945,0,0
12,5,-1.3,945,0,0
12,6,-1.8,945,0,0
12,7,-2,945,0,0
12,8,-1.1,945,135,51
12,9,1.4,945,610,240
12,10,3.6,944,537,345
12,11,5.2,944,369,393
12,12,6.1,944,198,375
12,13,7,944,414,435
12,14,7.5,944,421,385
12,15,7.1,944,210,244
12,16,6.6,944,445,217
12,17,5.1,943,0,35
12,18,4.4,943,0,0
12,19,3.6,943,0,0
12,20,2.9,943,0,0
12,21,2.1,943,0,0
12,22,1.4,943,0,0
12,23,0.6,943,0,0
12,0,-0.2,942,0,0
13,1,-0.3,942,0,0
13,2,-0.4,942,0,0
13,3,-0.5,942,0,0
13,4,-0.5,942,0,0
13,5,-0.6,942,0,0
13,6,-0.6,941,0,0
