 TIME                    	Wgross_MW                	Wnet_MW                  	Qboiler_MW               	Q_LHV_MW                 	eta_gross                	eta_net                  	eta_CHP                  	
  +0.0000000000000000E+00	  +1.4294791999338610E-01	  +1.2865312799404749E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.4294791999338607E+01	  +1.2865312799404746E+01	  +2.9580527786884727E+03	
  +1.2500000000000000E-01	  +0.0000000000000000E+00	  +1.4223458627905558E-04	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.4223458627905555E-02	  +1.8720537162267917E+03	
  +2.5000000000000000E-01	  +4.2363140701168058E+00	  +3.8048736441629125E+00	  +1.4907092577660006E+01	  +1.7960352503204824E+01	  +2.3587031876801320E-01	  +2.1184849481567666E-01	  +1.2541662847555566E+00	
  +3.7500000000000000E-01	  +4.7598044968763000E+00	  +4.2741867874758865E+00	  +1.6412264969003246E+01	  +1.9773813215666561E+01	  +2.4071252443636731E-01	  +2.1615389711932237E-01	  +1.1628804957527965E+00	
  +5.0000000000000000E-01	  +5.2896003114638539E+00	  +4.7489850374412814E+00	  +1.7901187935816637E+01	  +2.1567696308212813E+01	  +2.4525569332361263E-01	  +2.2018972121899288E-01	  +1.0881727760690865E+00	
  +6.2500000000000000E-01	  +5.8264431986985201E+00	  +5.2299360463989180E+00	  +1.9387779901058103E+01	  +2.3358770965130244E+01	  +2.4943278083406786E-01	  +2.2389602835723327E-01	  +1.0253249629371937E+00	
  +7.5000000000000000E-01	  +6.3633128888340869E+00	  +5.7107237111170361E+00	  +2.0859974872402770E+01	  +2.5132499846268395E+01	  +2.5319060689376249E-01	  +2.2722465914845907E-01	  +9.7209266042932652E-01	
  +8.7500000000000000E-01	  +6.9012258727671787E+00	  +6.1922594268091338E+00	  +2.2330667285999098E+01	  +2.6904418416866381E+01	  +2.5650901520475905E-01	  +2.3015771353478529E-01	  +9.2596888616901052E-01	
  +1.0000000000000000E+00	  +7.4497573863962883E+00	  +6.6831612915742387E+00	  +2.3792674708342663E+01	  +2.8665873142581518E+01	  +2.5988245149002975E-01	  +2.3313998699194632E-01	  +8.8619509661892526E-01	
  +1.1250000000000000E+00	  +8.0026104449731079E+00	  +7.1777753168327640E+00	  +2.5243979125368373E+01	  +3.0414432681166712E+01	  +2.6311884653132134E-01	  +2.3599898745694511E-01	  +8.4459254453357058E-01	
