 TIME                    	HPT_powerMW              	LPT_powerMW              	P1_powerMW               	P2_powerMW               	P3_powerMW               	Wnet_MW                  	Wgross_MW                	eta_net                  	eta_gross                	eta_CHP                  	m_fuel_h                 	
  +0.0000000000000000E+00	  +7.2452639997777776E-02	  +7.0495279995608340E-02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.2865312799404749E-01	  +1.4294791999338610E-01	  +1.2865312799404746E+01	  +1.4294791999338607E+01	  +2.9580527786884727E+03	  +0.0000000000000000E+00	
  +1.2500000000000000E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -1.5803842919895065E-04	  +0.0000000000000000E+00	  +1.4223458627905558E-04	  +0.0000000000000000E+00	  +1.4223458627905555E-02	  +0.0000000000000000E+00	  +1.8720537162267917E+03	  +0.0000000000000000E+00	
  +2.5000000000000000E-01	  +3.0619248966276627E+00	  +1.1743891734891425E+00	  +0.0000000000000000E+00	  +5.4488825180945273E-04	  +8.1317994617604774E-03	  +3.8048736441629125E+00	  +4.2363140701168058E+00	  +2.1184849481567666E-01	  +2.3587031876801320E-01	  +1.2541662847555566E+00	  +5.3404864137719796E+03	
  +3.7500000000000000E-01	  +3.3898776945913895E+00	  +1.3699268022849096E+00	  +0.0000000000000000E+00	  +6.5049030973579256E-04	  +1.0057576037801618E-02	  +4.2741867874758865E+00	  +4.7598044968763000E+00	  +2.1615389711932237E-01	  +2.4071252443636731E-01	  +1.1628804957527965E+00	  +5.8797164926405894E+03	
  +5.0000000000000000E-01	  +3.7163822734303236E+00	  +1.5732180380335301E+00	  +0.0000000000000000E+00	  +7.5785707466229731E-04	  +1.2192412787767457E-02	  +4.7489850374412814E+00	  +5.2896003114638539E+00	  +2.2018972121899288E-01	  +2.4525569332361263E-01	  +1.0881727760690865E+00	  +6.4131251928277961E+03	
  +6.2500000000000000E-01	  +4.0415453202597726E+00	  +1.7848978784387477E+00	  +0.0000000000000000E+00	  +8.6767785522697471E-04	  +1.4535469288939833E-02	  +5.2299360463989180E+00	  +5.8264431986985201E+00	  +2.2389602835723327E-01	  +2.4943278083406786E-01	  +1.0253249629371937E+00	  +6.9456988084966451E+03	
  +7.5000000000000000E-01	  +4.3661260312376875E+00	  +1.9971868575964005E+00	  +0.0000000000000000E+00	  +9.7819420917840327E-04	  +1.7086126717090949E-02	  +5.7107237111170361E+00	  +6.3633128888340869E+00	  +2.2722465914845907E-01	  +2.5319060689376249E-01	  +9.7209266042932652E-01	  +7.4731146813055439E+03	
  +8.7500000000000000E-01	  +4.6921252861002660E+00	  +2.2091005866669127E+00	  +0.0000000000000000E+00	  +1.0909473629114733E-03	  +1.9846673394117876E-02	  +6.1922594268091338E+00	  +6.9012258727671787E+00	  +2.3015771353478529E-01	  +2.5650901520475905E-01	  +9.2596888616901052E-01	  +7.9999922607350272E+03	
  +1.0000000000000000E+00	  +5.0162136293282069E+00	  +2.4335437570680813E+00	  +0.0000000000000000E+00	  +1.2058177872327576E-03	  +2.2816800193234545E-02	  +6.6831612915742387E+00	  +7.4497573863962883E+00	  +2.3313998699194632E-01	  +2.5988245149002975E-01	  +8.8619509661892526E-01	  +8.5237584301060106E+03	
  +1.1250000000000000E+00	  +5.3382360316095916E+00	  +2.6643744133635163E+00	  +0.0000000000000000E+00	  +1.3072131936717104E-03	  +2.5997324187476949E-02	  +7.1777753168327640E+00	  +8.0026104449731079E+00	  +2.3599898745694511E-01	  +2.6311884653132134E-01	  +8.4459254453357058E-01	  +9.0436902331048295E+03	
  +1.2500000000000000E+00	  +5.6553966040562553E+00	  +2.8881003927509705E+00	  +0.0000000000000000E+00	  +1.3904201818630184E-03	  +2.9362940335340561E-02	  +7.6614692726610203E+00	  +8.5434969968072263E+00	  +2.3840463464040149E-01	  +2.6585100162749320E-01	  +8.0118985517502239E-01	  +9.5557180836061598E+03	
  +1.3750000000000000E+00	  +5.9775874750385425E+00	  +3.0970931064702789E+00	  -5.0816687197696490E-07	  +1.5494102572096496E-03	  +3.2917120251401387E-02	  +8.1361931032503740E+00	  +9.0746805815088205E+00	  +2.4038249410223564E-01	  +2.6810995310481983E-01	  +7.9348010111956024E-01	  +1.0064318425075317E+04	
  +1.5000000000000000E+00	  +6.1076484016219341E+00	  +3.1680143540705368E+00	  -6.2099027180578216E-07	  +1.6281479879745933E-03	  +3.4421174361143017E-02	  +8.3156526489002633E+00	  +9.2756627556924709E+00	  +2.4076068809697820E-01	  +2.6855558329644430E-01	  +7.9348399905349076E-01	  +1.0270148486727910E+04	
  +1.6250000000000000E+00	  +6.2647542947483341E+00	  +3.2662175569100209E+00	  -4.9235088367921450E-07	  +1.7215272237623982E-03	  +3.6272602828131641E-02	  +8.5436803925616118E+00	  +9.5309718516583573E+00	  +2.4152389900912527E-01	  +2.6943394148532324E-01	  +7.9422418406811279E-01	  +1.0518428059076041E+04	
  +1.7500000000000000E+00	  +6.4305098311565425E+00	  +3.3710610293701717E+00	  -3.5659978756131346E-07	  +1.8204732159156872E-03	  +3.8263963811622538E-02	  +8.7853381020890691E+00	  +9.8015708605267147E+00	  +2.4238924836164372E-01	  +2.7042731492388650E-01	  +7.9416901851171706E-01	  +1.0777327647638745E+04	
  +1.8750000000000000E+00	  +6.6246748148369123E+00	  +3.4920147809325988E+00	  -5.4996699465349789E-08	  +1.9379692602804319E-03	  +4.0668312672601140E-02	  +9.0666750319499965E+00	  +1.0116689595769511E+01	  +2.4331460557462498E-01	  +2.7149294863236767E-01	  +7.9385247358881139E-01	  +1.1080154828058729E+04	
  +2.0000000000000000E+00	  +6.7974232102870795E+00	  +3.5996076954864971E+00	  +3.4673422603038208E-07	  +2.0465606132172584E-03	  +4.2872267260380854E-02	  +9.3169005580491788E+00	  +1.0397030905773578E+01	  +2.4412021926308364E-01	  +2.7242165445350092E-01	  +7.9377128161004806E-01	  +1.1348374707581905E+04	
  +2.1250000000000000E+00	  +6.9693267777998065E+00	  +3.7018847333591083E+00	  +1.1159739573795477E-06	  +2.1576661241111596E-03	  +4.5124668106104548E-02	  +9.5615352548592671E+00	  +1.0671211511158914E+01	  +2.4478708320287987E-01	  +2.7319616258592505E-01	  +7.9374141956304856E-01	  +1.1614622305234319E+04	
  +2.2500000000000000E+00	  +7.1121660441222723E+00	  +3.7814253506312641E+00	  +2.2659300823696014E-06	  +2.2534572747098655E-03	  +4.7038683889264403E-02	  +9.7598672888935329E+00	  +1.0893591394753537E+01	  +2.4522116152398307E-01	  +2.7370650193461560E-01	  +7.9391345559369175E-01	  +1.1834554813330633E+04	
  +2.3750000000000000E+00	  +7.2361525346055364E+00	  +3.8493349247038178E+00	  +3.5363812625360733E-06	  +2.3361732375762113E-03	  +4.8736494816052876E-02	  +9.9309701293870134E+00	  +1.1085487459309352E+01	  +2.4556080651918868E-01	  +2.7410829009656695E-01	  +7.9372690478190677E-01	  +1.2025373741202638E+04	
  +2.5000000000000000E+00	  +7.3594057088406855E+00	  +3.9149746884060224E+00	  +5.1677306024035921E-06	  +2.4211781277963464E-03	  +5.0455849026348129E-02	  +1.0099348382125767E+01	  +1.1274380397246709E+01	  +2.4584780421527974E-01	  +2.7445153485907148E-01	  +7.9383449177186127E-01	  +1.2214986132754080E+04	
  +2.6250000000000000E+00	  +7.4696692707937169E+00	  +3.9825882899853484E+00	  +6.4573646448665760E-06	  +2.5021674275454674E-03	  +5.2018446736034646E-02	  +1.0257957440325756E+01	  +1.1452257560779065E+01	  +2.4629559120142888E-01	  +2.7497097379588470E-01	  +7.9453806505525115E-01	  +1.2384264339973113E+04	
  +2.7500000000000000E+00	  +7.5911711809277440E+00	  +4.0537662392985903E+00	  +7.5991844709032546E-06	  +2.5876968612647015E-03	  +5.3777835115088143E-02	  +1.0429707860158960E+01	  +1.1644937420226334E+01	  +2.4662923204279047E-01	  +2.7536552429312267E-01	  +7.9360903860360621E-01	  +1.2574581834838535E+04	
  +2.8750000000000000E+00	  +7.7334727376275216E+00	  +4.1369274411045565E+00	  +9.2282743912154312E-06	  +2.6885309321898637E-03	  +5.5796369454217454E-02	  +1.0630715445064151E+01	  +1.1870400178732078E+01	  +2.4717496578517753E-01	  +2.7599889896373397E-01	  +7.9439969977177594E-01	  +1.2788628425225113E+04	
  +3.0000000000000000E+00	  +7.8433454221702101E+00	  +4.2051040699653628E+00	  +1.0383608049490890E-05	  +2.7689464445900466E-03	  +5.7472081252355062E-02	  +1.0789378272747520E+01	  +1.2048449492135571E+01	  +2.4749528797105649E-01	  +2.7637685891436187E-01	  +7.9370653307534866E-01	  +1.2962699193097958E+04	
  +3.1250000000000000E+00	  +7.9669913879561154E+00	  +4.2746043127927358E+00	  +1.3057990080004349E-05	  +2.8698837034845529E-03	  +5.9402645568244698E-02	  +1.0961379102138338E+01	  +1.2241595700748851E+01	  +2.4766841161753889E-01	  +2.7659444442324860E-01	  +7.9395786730339279E-01	  +1.3160140856517151E+04	
  +3.2500000000000000E+00	  +8.0450189157144578E+00	  +4.3030873752890795E+00	  +1.6088340311244200E-05	  +2.9259226494692601E-03	  +6.0563459565030703E-02	  +1.1056140738403855E+01	  +1.2348106291003537E+01	  +2.4762410576536337E-01	  +2.7656022572003175E-01	  +7.9469922536916693E-01	  +1.3276285910148768E+04	
  +3.3750000000000000E+00	  +8.0995847949730440E+00	  +4.3152863414846365E+00	  +1.9364277079250423E-05	  +2.9665061747385013E-03	  +6.1425682715890065E-02	  +1.1115413624960977E+01	  +1.2414871136457682E+01	  +2.4735480588462494E-01	  +2.7627204381716419E-01	  +7.9435538086188484E-01	  +1.3361992813716099E+04	
  +3.5000000000000000E+00	  +8.1562004040444620E+00	  +4.3441301208992105E+00	  +2.2986263407549695E-05	  +3.0162346268936880E-03	  +6.2368329033351509E-02	  +1.1191430677518019E+01	  +1.2500330524943672E+01	  +2.4732041793230805E-01	  +2.7624591160910394E-01	  +7.9472269475094937E-01	  +1.3455244551913229E+04	
  +3.6250000000000000E+00	  +8.1995541025359842E+00	  +4.3648968314568162E+00	  +2.5103269800378392E-05	  +3.0525803478116120E-03	  +6.3052827662609792E-02	  +1.1248488380441323E+01	  +1.2564450933992802E+01	  +2.4735101441272539E-01	  +2.7628865132366365E-01	  +7.9500960205751736E-01	  +1.3522171090911954E+04	
