 TIME                    	Pump1flow                	PumpDeaLPflow            	PumpDeaHPflow            	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.2500000000000000E-01	  +0.0000000000000000E+00	  +2.1241924725611578E+04	  +0.0000000000000000E+00	
  +2.5000000000000000E-01	  +0.0000000000000000E+00	  +3.0465827813051663E+04	  +1.8988851063544305E+04	
  +3.7500000000000000E-01	  +0.0000000000000000E+00	  +3.0774132185635954E+04	  +2.1021879666538851E+04	
  +5.0000000000000000E-01	  +0.0000000000000000E+00	  +3.1071853577301459E+04	  +2.3054908269533393E+04	
  +6.2500000000000000E-01	  +0.0000000000000000E+00	  +3.1355062779401967E+04	  +2.5087936872527938E+04	
  +7.5000000000000000E-01	  +0.0000000000000000E+00	  +3.1604985753444740E+04	  +2.7120965475522484E+04	
  +8.7500000000000000E-01	  +0.0000000000000000E+00	  +3.1850139240959026E+04	  +2.9153994078517022E+04	
  +1.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2094220129680285E+04	  +3.1187022681511567E+04	
  +1.1250000000000000E+00	  +0.0000000000000000E+00	  +3.1951753967580738E+04	  +3.3220051284506117E+04	
  +1.2500000000000000E+00	  +0.0000000000000000E+00	  +3.1402709064123363E+04	  +3.5238564945604929E+04	
  +1.3750000000000000E+00	  +1.7384106710465567E+03	  +3.2664982621232390E+04	  +3.7246076085246350E+04	
  +1.5000000000000000E+00	  +3.0538660322254618E+03	  +3.3422782738436901E+04	  +3.8061461506260777E+04	
  +1.6250000000000000E+00	  +4.1718357232133421E+03	  +3.4262441588737041E+04	  +3.9041649741879199E+04	
  +1.7500000000000000E+00	  +4.9144809731816094E+03	  +3.5128888472815735E+04	  +4.0067642832968922E+04	
  +1.8750000000000000E+00	  +5.7715649832528834E+03	  +3.6123545809180308E+04	  +4.1271045078909621E+04	
  +2.0000000000000000E+00	  +6.5436269110787252E+03	  +3.7018170878021767E+04	  +4.2342188644346315E+04	
  +2.1250000000000000E+00	  +7.4672199903199726E+03	  +3.7909016118061292E+04	  +4.3408394812847408E+04	
  +2.2500000000000000E+00	  +8.4250407649088083E+03	  +3.8658284572123899E+04	  +4.4292930657122910E+04	
  +2.3750000000000000E+00	  +9.2767810843950538E+03	  +3.9276039693769584E+04	  +4.5062300648531280E+04	
  +2.5000000000000000E+00	  +1.0151563749224642E+04	  +3.9915044675725323E+04	  +4.5827814440189693E+04	
  +2.6250000000000000E+00	  +1.0847909307115242E+04	  +4.0528438820426280E+04	  +4.6511906822154371E+04	
  +2.7500000000000000E+00	  +1.1355763727126945E+04	  +4.1127436114763863E+04	  +4.7269825517429810E+04	
  +2.8750000000000000E+00	  +1.2038934720557332E+04	  +4.1885301015007084E+04	  +4.8123980481597595E+04	
  +3.0000000000000000E+00	  +1.2511566659053369E+04	  +4.2437280471815437E+04	  +4.8820827652794134E+04	
  +3.1250000000000000E+00	  +1.3338878514099844E+04	  +4.3109330836442517E+04	  +4.9611263230620316E+04	
  +3.2500000000000000E+00	  +1.4186904656677394E+04	  +4.3529728098372172E+04	  +5.0079465155528320E+04	
  +3.3750000000000000E+00	  +1.4876184483775418E+04	  +4.3773498446646227E+04	  +5.0424501574389360E+04	
  +3.5000000000000000E+00	  +1.5646316054120845E+04	  +4.4081401902695507E+04	  +5.0799183369630860E+04	
  +3.6250000000000000E+00	  +1.6096247137193917E+04	  +4.4330702360090640E+04	  +5.1069194827769563E+04	
  +3.7500000000000000E+00	  +1.6432937593591487E+04	  +4.4743533479491161E+04	  +5.1524650338343781E+04	
  +3.8750000000000000E+00	  +1.6834042997255343E+04	  +4.5201334205529944E+04	  +5.2066469842369239E+04	
  +4.0000000000000000E+00	  +1.7189417939692328E+04	  +4.5601961996683094E+04	  +5.2541680716084171E+04	
  +4.1250000000000000E+00	  +1.7266330702940249E+04	  +4.6004056800698832E+04	  +5.3016534190536477E+04	
  +4.2500000000000000E+00	  +1.7120572065432603E+04	  +4.6468093580755034E+04	  +5.3569905713884044E+04	
  +4.3750000000000000E+00	  +1.7020232263533806E+04	  +4.6977942327480465E+04	  +5.4179234708074786E+04	
  +4.5000000000000000E+00	  +1.6901535028387196E+04	  +4.7458361110833139E+04	  +5.4754005725939904E+04	
  +4.6250000000000000E+00	  +1.7057647768567003E+04	  +4.7943620372806974E+04	  +5.5332129413520626E+04	
  +4.7500000000000000E+00	  +1.7402589349641112E+04	  +4.8332017998556490E+04	  +5.5799068979424323E+04	
  +4.8750000000000000E+00	  +1.7700392345374112E+04	  +4.8670312477173829E+04	  +5.6197536197125482E+04	
  +5.0000000000000000E+00	  +1.7999604701462791E+04	  +4.9010168716672939E+04	  +5.6601585301929459E+04	
  +5.1250000000000000E+00	  +1.7968228465229175E+04	  +4.9282263438121816E+04	  +5.6983748667170526E+04	
  +5.2500000000000000E+00	  +1.7733430749766401E+04	  +4.9791224540043244E+04	  +5.7534834204321378E+04	
  +5.3750000000000000E+00	  +1.7576004460267086E+04	  +5.0339399053939174E+04	  +5.8196111629962092E+04	
  +5.5000000000000000E+00	  +1.7391384338726886E+04	  +5.0854783310606668E+04	  +5.8818868200222059E+04	
  +5.6250000000000000E+00	  +1.7541904573995474E+04	  +5.1393143000998236E+04	  +5.9465394974678173E+04	
  +5.7500000000000000E+00	  +1.7885100739210175E+04	  +5.1780589461357958E+04	  +5.9925941108465544E+04	
  +5.8750000000000000E+00	  +1.8142743961428892E+04	  +5.2025851831780783E+04	  +6.0269761891905917E+04	
  +6.0000000000000000E+00	  +1.8426691881580526E+04	  +5.2346243295187225E+04	  +6.0644075720920642E+04	
  +6.1250000000000000E+00	  +1.8371075414236991E+04	  +5.2626743606583805E+04	  +6.0984142430360356E+04	
  +6.2500000000000000E+00	  +1.8166457029918809E+04	  +5.3115888596540688E+04	  +6.1535754190604639E+04	
  +6.3750000000000000E+00	  +1.8049744328166151E+04	  +5.3658441346425359E+04	  +6.2205044505051628E+04	
  +6.5000000000000000E+00	  +1.7914464603309105E+04	  +5.4169902730197624E+04	  +6.2834906178349396E+04	
  +6.6250000000000000E+00	  +1.8098232680995967E+04	  +5.4711067505367588E+04	  +6.3487301125794635E+04	
  +6.7500000000000000E+00	  +1.8431491632244259E+04	  +5.5078751254715331E+04	  +6.3933547625655221E+04	
  +6.8750000000000000E+00	  +1.8673101398918949E+04	  +5.5305360710411740E+04	  +6.4255869818461331E+04	
  +7.0000000000000000E+00	  +1.8943639374627270E+04	  +5.5601995763675062E+04	  +6.4613354077762051E+04	
  +7.1250000000000000E+00	  +1.8886119953630317E+04	  +5.5875513473222556E+04	  +6.4936351103393165E+04	
  +7.2500000000000000E+00	  +1.8777244707402657E+04	  +5.6340390691924382E+04	  +6.5461250331201300E+04	
  +7.3750000000000000E+00	  +1.8681209409668380E+04	  +5.6807011857200254E+04	  +6.6040755238109574E+04	
  +7.5000000000000000E+00	  +1.8593651997594345E+04	  +5.7280103622019618E+04	  +6.6624740550628252E+04	
  +7.6250000000000000E+00	  +1.8767603097814346E+04	  +5.7762954748633070E+04	  +6.7216800600602830E+04	
  +7.7500000000000000E+00	  +1.9073877787841659E+04	  +5.8103380944546188E+04	  +6.7635855988052514E+04	
  +7.8750000000000000E+00	  +1.9270699452569228E+04	  +5.8316512002772797E+04	  +6.7940682673132629E+04	
  +8.0000000000000000E+00	  +1.9535041492071570E+04	  +5.8608871704658726E+04	  +6.8293798667818977E+04	
