 TIME                    	DeaLPmout                	ColdPHm_c_out            	DeaHPmout                	HotPHm_c_out             	DeaLPTout                	ColdPhT_c_out            	DeaHPTout                	HotPhT_c_out             	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.0000000000000000E+01	  +2.0000000000000000E+01	  +2.0000000000000000E+01	  +2.0000000000000000E+01	
  +1.2500000000000000E-01	  +2.1241924775406318E+04	  +2.1241924725611578E+04	  +2.1241924725611578E+04	  +0.0000000000000000E+00	  +6.1699603132889969E+01	  +6.1699603132889969E+01	  +6.1294044305407702E+01	  +6.1294044305407702E+01	
  +2.5000000000000000E-01	  +3.0455335127396633E+04	  +3.0465827813051663E+04	  +3.2971342520380531E+04	  +1.8988851063544305E+04	  +6.1699603132889969E+01	  +8.2020046669048369E+01	  +1.0508232269299467E+02	  +1.4487026452729606E+02	
  +3.7500000000000000E-01	  +3.0780157920042941E+04	  +3.0774132185635954E+04	  +3.3515519753113702E+04	  +2.1021879666538851E+04	  +6.1699603132889969E+01	  +8.4139933760567786E+01	  +1.0815694634909325E+02	  +1.4849338137593216E+02	
  +5.0000000000000000E-01	  +3.1082908078893597E+04	  +3.1074979946854608E+04	  +3.4057432151910376E+04	  +2.3054908269533393E+04	  +6.1699603132889969E+01	  +8.6234552588391054E+01	  +1.1122072239155887E+02	  +1.5205209805949960E+02	
  +6.2500000000000000E-01	  +3.1353527734186962E+04	  +3.1355062779401967E+04	  +3.4563937644653241E+04	  +2.5087936872527938E+04	  +6.1699603132889969E+01	  +8.8052562220904591E+01	  +1.1359770028139251E+02	  +1.5510100685963272E+02	
  +7.5000000000000000E-01	  +3.1610245200898171E+04	  +3.1608449541711987E+04	  +3.5047479757090623E+04	  +2.7120965475522484E+04	  +6.1699603132889969E+01	  +8.9884960970365228E+01	  +1.1593458179958041E+02	  +1.5813430780468261E+02	
  +8.7500000000000000E-01	  +3.1850749920607726E+04	  +3.1850139240959026E+04	  +3.5505603411895660E+04	  +2.9153994078517022E+04	  +6.1699603132889969E+01	  +9.1740268060716630E+01	  +1.1829571301347742E+02	  +1.6077052298329980E+02	
  +1.0000000000000000E+00	  +3.2092818706276033E+04	  +3.2094220129680285E+04	  +3.5962762341158981E+04	  +3.1187022681511567E+04	  +6.1699603132889969E+01	  +9.3593498844483804E+01	  +1.2055435336805331E+02	  +1.6328730962992944E+02	
  +1.1250000000000000E+00	  +3.1933697708820240E+04	  +3.1931782547581002E+04	  +3.6008293686239507E+04	  +3.3220051284506117E+04	  +6.1779553002740947E+01	  +9.5139959008503183E+01	  +1.2234351837498379E+02	  +1.6576167794268429E+02	
  +1.2500000000000000E+00	  +3.1382488667012123E+04	  +3.1372297969005231E+04	  +3.5632502626786918E+04	  +3.5238564945604929E+04	  +6.1945624561804756E+01	  +9.6750996713080923E+01	  +1.2414557337412607E+02	  +1.6821014383876033E+02	
  +1.3750000000000000E+00	  +3.2671451765042828E+04	  +3.2664982621232390E+04	  +3.7208808447132142E+04	  +3.7246076085246350E+04	  +6.2200509630627842E+01	  +9.8215703139951827E+01	  +1.2583586911280105E+02	  +1.7056217171252496E+02	
  +1.5000000000000000E+00	  +3.3400279827485909E+04	  +3.3422782738436901E+04	  +3.8096196600028474E+04	  +3.8061461506260777E+04	  +6.2530569759494881E+01	  +9.8818245226951461E+01	  +1.2652153490634880E+02	  +1.7136079182737836E+02	
  +1.6250000000000000E+00	  +3.4259758825107216E+04	  +3.4262441588737041E+04	  +3.9080190219753582E+04	  +3.9041649741879199E+04	  +6.2847113464667714E+01	  +9.9554841034711558E+01	  +1.2734175498879566E+02	  +1.7232156327464963E+02	
  +1.7500000000000000E+00	  +3.5126280516211795E+04	  +3.5128888472815735E+04	  +4.0108966898640756E+04	  +4.0067642832968922E+04	  +6.3015746121158557E+01	  +1.0011843403495388E+02	  +1.2818627073351232E+02	  +1.7332156117767425E+02	
  +1.8750000000000000E+00	  +3.6118213325711513E+04	  +3.6123545809180308E+04	  +4.1296658170722032E+04	  +4.1271045078909621E+04	  +6.3249578680458114E+01	  +1.0075363244738178E+02	  +1.2916218381286728E+02	  +1.7449047840471752E+02	
  +2.0000000000000000E+00	  +3.7013184221398071E+04	  +3.7018170878021767E+04	  +4.2364836966526527E+04	  +4.2342188644346315E+04	  +6.3481500222855459E+01	  +1.0132539662369281E+02	  +1.3003903797464460E+02	  +1.7552527264609884E+02	
  +2.1250000000000000E+00	  +3.7903711296246431E+04	  +3.7909016118061292E+04	  +4.3430197816612781E+04	  +4.3408394812847408E+04	  +6.3839347497161107E+01	  +1.0190546879315532E+02	  +1.3091272500736295E+02	  +1.7655220586608414E+02	
  +2.2500000000000000E+00	  +3.8654571183865970E+04	  +3.8658284572123899E+04	  +4.4325141167380381E+04	  +4.4292930657122910E+04	  +6.4282668801028606E+01	  +1.0240526212576754E+02	  +1.3165004403757786E+02	  +1.7740059922725908E+02	
