 TIME                    	pinLPT3_condhigh         	pcond_high_bar           	h_condhigh               	h_steamhigh              	
  +0.0000000000000000E+00	  +2.4266110000000002E-01	  +4.0640352500560306E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.2500000000000000E-01	  +2.2456191997910704E-01	  +4.0640352500560306E-01	  +2.6074903967250287E+02	  +3.4334098324300003E+03	
  +2.5000000000000000E-01	  +2.2456191997910704E-01	  +4.0640352500560306E-01	  +2.6074903967250287E+02	  +2.5546467659577525E+03	
  +3.7500000000000000E-01	  +2.2456191997910704E-01	  +4.0640352500560306E-01	  +2.6074903967250287E+02	  +2.5397144334165641E+03	
  +5.0000000000000000E-01	  +2.2456191997910704E-01	  +4.0640352500560306E-01	  +2.6074903967250287E+02	  +2.5262606542555054E+03	
  +6.2500000000000000E-01	  +2.2456191997910704E-01	  +4.0640352500560306E-01	  +2.6074903967250287E+02	  +2.5141019362307852E+03	
  +7.5000000000000000E-01	  +2.2456191997910704E-01	  +4.0640352500560306E-01	  +2.6074903967250287E+02	  +2.5034538744243218E+03	
  +8.7500000000000000E-01	  +2.2456191997910704E-01	  +4.0640352500560306E-01	  +2.6074903967250287E+02	  +2.4938699649260207E+03	
  +1.0000000000000000E+00	  +2.2456191997910704E-01	  +4.0640352500560306E-01	  +2.6074903967250287E+02	  +2.4846516660959105E+03	
  +1.1250000000000000E+00	  +2.2547468350333871E-01	  +4.0635835986756441E-01	  +2.6109452046242194E+02	  +2.4762193471812147E+03	
  +1.2500000000000000E+00	  +2.2737067234995326E-01	  +4.0626804230301261E-01	  +2.6181215181711207E+02	  +2.4699425997290964E+03	
  +1.3750000000000000E+00	  +2.3025528023487363E-01	  +4.0617774168520876E-01	  +2.6282141104214605E+02	  +2.4646294301857124E+03	
  +1.5000000000000000E+00	  +2.3417173402106997E-01	  +4.0608745801181101E-01	  +2.6433982733846085E+02	  +2.4638577536666726E+03	
  +1.6250000000000000E+00	  +2.3756164054837181E-01	  +4.0604232252853228E-01	  +2.6554701562675916E+02	  +2.4615045356220530E+03	
  +1.7500000000000000E+00	  +2.3948296638265673E-01	  +4.0604232252853228E-01	  +2.6623766298923454E+02	  +2.4588976155097316E+03	
  +1.8750000000000000E+00	  +2.4206635884024161E-01	  +4.0604232252853228E-01	  +2.6717120416445800E+02	  +2.4564836543497745E+03	
  +2.0000000000000000E+00	  +2.4471941338931238E-01	  +4.0604232252853228E-01	  +2.6816850829091044E+02	  +2.4543627112409872E+03	
  +2.1250000000000000E+00	  +2.4878668979504870E-01	  +4.0648358713794652E-01	  +2.6967902711793818E+02	  +2.4530520968777923E+03	
  +2.2500000000000000E+00	  +2.5391274574315664E-01	  +4.0736733084465637E-01	  +2.7161556359873708E+02	  +2.4526714294815474E+03	
  +2.3750000000000000E+00	  +2.5892605343035335E-01	  +4.0825269569184403E-01	  +2.7355710921573086E+02	  +2.4530648481934272E+03	
  +2.5000000000000000E+00	  +2.6436404338090347E-01	  +4.0913968386902577E-01	  +2.7559903837128769E+02	  +2.4535575232539131E+03	
  +2.6250000000000000E+00	  +2.6860473697184656E-01	  +4.0958378739107382E-01	  +2.7714199396102470E+02	  +2.4533140743063273E+03	
  +2.7500000000000000E+00	  +2.7144085545048063E-01	  +4.0958378739107382E-01	  +2.7832710783560753E+02	  +2.4520218849790244E+03	
  +2.8750000000000000E+00	  +2.7541065147362076E-01	  +4.0958378739107382E-01	  +2.7977201696827484E+02	  +2.4519646442471981E+03	
  +3.0000000000000000E+00	  +2.7825724087659914E-01	  +4.0958378739107382E-01	  +2.8090368427765264E+02	  +2.4510937341846334E+03	
  +3.1250000000000000E+00	  +2.8419383576019919E-01	  +4.1081552270726063E-01	  +2.8310209987132612E+02	  +2.4529026051150881E+03	
  +3.2500000000000000E+00	  +2.9125949653370725E-01	  +4.1328836886136988E-01	  +2.8577869275914469E+02	  +2.4552134763423496E+03	
  +3.3750000000000000E+00	  +2.9746517222540936E-01	  +4.1577375459922605E-01	  +2.8821420163069337E+02	  +2.4584406037714934E+03	
  +3.5000000000000000E+00	  +3.0438319204098457E-01	  +4.1827172667783397E-01	  +2.9047540825370913E+02	  +2.4591565164292806E+03	
  +3.6250000000000000E+00	  +3.0836536078000654E-01	  +4.1952544723500984E-01	  +2.9177263926592570E+02	  +2.4601454901031129E+03	
  +3.7500000000000000E+00	  +3.1076812098249790E-01	  +4.1952544723500984E-01	  +2.9226720787888490E+02	  +2.4595751151506461E+03	
  +3.8750000000000000E+00	  +3.1367062473813057E-01	  +4.1952544723500984E-01	  +2.9307146860628359E+02	  +2.4590232798873503E+03	
  +4.0000000000000000E+00	  +3.1627768524947647E-01	  +4.1952544723500984E-01	  +2.9382141967185891E+02	  +2.4588234747261868E+03	
  +4.1250000000000000E+00	  +3.1645148029540887E-01	  +4.2181845495924486E-01	  +2.9387231494093527E+02	  +2.4577293497526566E+03	
  +4.2500000000000000E+00	  +3.1459204626271231E-01	  +4.2643614106749961E-01	  +2.9332589206136038E+02	  +2.4554882449816091E+03	
  +4.3750000000000000E+00	  +3.1308144252522929E-01	  +4.3109629270857674E-01	  +2.9288371760771633E+02	  +2.4532728283735278E+03	
  +4.5000000000000000E+00	  +3.1144789041160709E-01	  +4.3579919647321219E-01	  +2.9242531533420777E+02	  +2.4512567853385913E+03	
  +4.6250000000000000E+00	  +3.1222870476852765E-01	  +4.3816677027615780E-01	  +2.9264714253962501E+02	  +2.4500695650185739E+03	
  +4.7500000000000000E+00	  +3.1480362992101268E-01	  +4.3816677027615780E-01	  +2.9339634377689856E+02	  +2.4499192023692708E+03	
  +4.8750000000000000E+00	  +3.1705085582412967E-01	  +4.3816677027615780E-01	  +2.9404767233108919E+02	  +2.4498662460520759E+03	
  +5.0000000000000000E+00	  +3.1933078207740495E-01	  +4.3816677027615780E-01	  +2.9469242344203599E+02	  +2.4497288515926866E+03	
  +5.1250000000000000E+00	  +3.1843602350082301E-01	  +4.3854497101609230E-01	  +2.9444597161498535E+02	  +2.4485837878143416E+03	
  +5.2500000000000000E+00	  +3.1535817225948098E-01	  +4.3930219519389196E-01	  +2.9353333681681255E+02	  +2.4458773182030459E+03	
  +5.3750000000000000E+00	  +3.1291057845902226E-01	  +4.4006051727655060E-01	  +2.9281057395856863E+02	  +2.4432284809936982E+03	
  +5.5000000000000000E+00	  +3.1029336894633985E-01	  +4.4081993843385692E-01	  +2.9208469624359736E+02	  +2.4407437910851049E+03	
  +5.6250000000000000E+00	  +3.1085291000612852E-01	  +4.4120006153126468E-01	  +2.9225001289614198E+02	  +2.4393730369118753E+03	
  +5.7500000000000000E+00	  +3.1349799031292397E-01	  +4.4120006153126468E-01	  +2.9303164894142060E+02	  +2.4394409475978778E+03	
  +5.8750000000000000E+00	  +3.1550244753279133E-01	  +4.4120006153126468E-01	  +2.9387637750081990E+02	  +2.4396039301069045E+03	
  +6.0000000000000000E+00	  +3.1772977811211439E-01	  +4.4120006153126468E-01	  +2.9424972998404559E+02	  +2.4395088258155693E+03	
  +6.1250000000000000E+00	  +3.1665137077982569E-01	  +4.4054879920543355E-01	  +2.9395336732890718E+02	  +2.4385281115093676E+03	
  +6.2500000000000000E+00	  +3.1379281334323178E-01	  +4.3924869637173836E-01	  +2.9309753985322766E+02	  +2.4359405258303636E+03	
  +6.3750000000000000E+00	  +3.1167029130039947E-01	  +4.3795181772209724E-01	  +2.9246708483781379E+02	  +2.4334741869339873E+03	
  +6.5000000000000000E+00	  +3.0944518570591650E-01	  +4.3665815737422520E-01	  +2.9184166514577339E+02	  +2.4313268975523401E+03	
  +6.6250000000000000E+00	  +3.1033272580170446E-01	  +4.3601253222698733E-01	  +2.9209032045058643E+02	  +2.4301032591357389E+03	
  +6.7500000000000000E+00	  +3.1298555378513720E-01	  +4.3601253222698733E-01	  +2.9288142023528144E+02	  +2.4303181238368443E+03	
  +6.8750000000000000E+00	  +3.1492481022599239E-01	  +4.3601253222698733E-01	  +2.9371064865344391E+02	  +2.4305685150856852E+03	
  +7.0000000000000000E+00	  +3.1711185594695895E-01	  +4.3601253222698733E-01	  +2.9407229750050624E+02	  +2.4305372855840410E+03	
  +7.1250000000000000E+00	  +3.1617757186832945E-01	  +4.3644256263405101E-01	  +2.9417342962726991E+02	  +2.4297781830329259E+03	
  +7.2500000000000000E+00	  +3.1438205426155874E-01	  +4.3730369266971580E-01	  +2.9326252367801754E+02	  +2.4275877190038505E+03	
  +7.3750000000000000E+00	  +3.1272109277199200E-01	  +4.3816624978153773E-01	  +2.9277556398906552E+02	  +2.4257158704385156E+03	
  +7.5000000000000000E+00	  +3.1115892654659022E-01	  +4.3903023570754585E-01	  +2.9232969183942208E+02	  +2.4239224803072302E+03	
  +7.6250000000000000E+00	  +3.1216172007858273E-01	  +4.3946276501934889E-01	  +2.9261287160319677E+02	  +2.4230247681151591E+03	
  +7.7500000000000000E+00	  +3.1467312555725935E-01	  +4.3946276501934889E-01	  +2.9335858218615419E+02	  +2.4232489300774819E+03	
  +7.8750000000000000E+00	  +3.1629776975203688E-01	  +4.3946276501934889E-01	  +2.9417458768367823E+02	  +2.4235108519965588E+03	
  +8.0000000000000000E+00	  +3.1849270921979123E-01	  +4.3946276501934889E-01	  +2.9485337120535002E+02	  +2.4234307910165930E+03	
  +8.1250000000000000E+00	  +3.1029991928836226E-01	  +4.4027191573504054E-01	  +2.9256355607642780E+02	  +2.4200137403447488E+03	
  +8.2500000000000000E+00	  +2.9780029732643104E-01	  +4.4189397108259271E-01	  +2.8860938888245011E+02	  +2.4132463454598678E+03	
  +8.3750000000000000E+00	  +2.8801696185237946E-01	  +4.4352104112850443E-01	  +2.8482273919161395E+02	  +2.4055655841429143E+03	
  +8.5000000000000000E+00	  +2.7923746022968582E-01	  +4.4515313725837535E-01	  +2.8111596192233549E+02	  +2.3987644037866230E+03	
  +8.6250000000000000E+00	  +2.7970396812377679E-01	  +4.4597107366699440E-01	  +2.8130898136170617E+02	  +2.3963053024730280E+03	
  +8.7500000000000000E+00	  +2.8413043073799604E-01	  +4.4597107366699440E-01	  +2.8308810141706579E+02	  +2.3977542644298192E+03	
  +8.8750000000000000E+00	  +2.8611514175663949E-01	  +4.4597107366699440E-01	  +2.8389080232520126E+02	  +2.3964862610385089E+03	
  +9.0000000000000000E+00	  +2.8943750232043131E-01	  +4.4597107366699440E-01	  +2.8509016071614963E+02	  +2.3965298026074147E+03	
  +9.1250000000000000E+00	  +2.9133093880500849E-01	  +4.4397851220496898E-01	  +2.8584337117396478E+02	  +2.3973297103090827E+03	
  +9.2500000000000000E+00	  +2.9296543893425986E-01	  +4.4001580301417426E-01	  +2.8642039646120634E+02	  +2.3964265265570707E+03	
