 TIME                    	pcond_low                	hcond_low                	hsteam_low               	
  +0.0000000000000000E+00	  +2.0000000000000000E+01	  +0.0000000000000000E+00	  +2.4681953402000004E+03	
  +1.2500000000000000E-01	  +2.2456191997910704E-01	  +2.6074903967250287E+02	  +3.4334098324300003E+03	
  +2.5000000000000000E-01	  +2.2456191997910704E-01	  +2.6074903967250287E+02	  +2.5544049893637102E+03	
  +3.7500000000000000E-01	  +2.2456191997910704E-01	  +2.6074903967250287E+02	  +2.5392430613296337E+03	
  +5.0000000000000000E-01	  +2.2456191997910704E-01	  +2.6074903967250287E+02	  +2.5257786742016842E+03	
  +6.2500000000000000E-01	  +2.2456191997910704E-01	  +2.6074903967250287E+02	  +2.5158095395291693E+03	
  +7.5000000000000000E-01	  +2.2456191997910704E-01	  +2.6074903967250287E+02	  +2.5053312870857180E+03	
  +8.7500000000000000E-01	  +2.2456191997910704E-01	  +2.6074903967250287E+02	  +2.4959550567657911E+03	
  +1.0000000000000000E+00	  +2.2456191997910704E-01	  +2.6074903967250287E+02	  +2.4865376219459145E+03	
  +1.1250000000000000E+00	  +2.2547468350333871E-01	  +2.6109452046242194E+02	  +2.4773025198583732E+03	
  +1.2500000000000000E+00	  +2.2737067234995326E-01	  +2.6181215181711207E+02	  +2.4716657609343706E+03	
  +1.3750000000000000E+00	  +2.2936218253089757E-01	  +2.6256593797549692E+02	  +2.4641526440842599E+03	
  +1.5000000000000000E+00	  +2.3145118630226530E-01	  +2.6335662543606725E+02	  +2.4624057437014449E+03	
  +1.6250000000000000E+00	  +2.3253289185545833E-01	  +2.6376605074618971E+02	  +2.4588236082085450E+03	
  +1.7500000000000000E+00	  +2.3253289185545833E-01	  +2.6376605074618971E+02	  +2.4551973229052201E+03	
  +1.8750000000000000E+00	  +2.3253289185545833E-01	  +2.6376605074618971E+02	  +2.4514145195647725E+03	
  +2.0000000000000000E+00	  +2.3253289185545833E-01	  +2.6376605074618971E+02	  +2.4478904841206167E+03	
  +2.1250000000000000E+00	  +2.3306889064507327E-01	  +2.6396892616826318E+02	  +2.4447112092233710E+03	
  +2.2500000000000000E+00	  +2.3415892271090000E-01	  +2.6438150306155643E+02	  +2.4421926362054223E+03	
  +2.3750000000000000E+00	  +2.3527321566559492E-01	  +2.6480326269586391E+02	  +2.4405177836641028E+03	
  +2.5000000000000000E+00	  +2.3641203260049296E-01	  +2.6523430465119736E+02	  +2.4387296824551331E+03	
  +2.6250000000000000E+00	  +2.3699072141873892E-01	  +2.6545333823956645E+02	  +2.4365492494615710E+03	
  +2.7500000000000000E+00	  +2.3699072141873892E-01	  +2.6545333823956645E+02	  +2.4337679567949922E+03	
  +2.8750000000000000E+00	  +2.3699072141873892E-01	  +2.6545333823956645E+02	  +2.4316141411695348E+03	
  +3.0000000000000000E+00	  +2.3699072141873892E-01	  +2.6545333823956645E+02	  +2.4292490667625016E+03	
  +3.1250000000000000E+00	  +2.3790495470319734E-01	  +2.6579937533340285E+02	  +2.4283862038846473E+03	
  +3.2500000000000000E+00	  +2.3977935401384495E-01	  +2.6650883505355478E+02	  +2.4279241827081760E+03	
  +3.3750000000000000E+00	  +2.4171589911444546E-01	  +2.6724181694131414E+02	  +2.4288480620413766E+03	
  +3.5000000000000000E+00	  +2.4371570520473637E-01	  +2.6799874309953253E+02	  +2.4276090814227859E+03	
  +3.6250000000000000E+00	  +2.4473968998632517E-01	  +2.6838632111050339E+02	  +2.4276170156513540E+03	
  +3.7500000000000000E+00	  +2.4473968998632517E-01	  +2.6838632111050339E+02	  +2.4261478755992671E+03	
  +3.8750000000000000E+00	  +2.4473968998632517E-01	  +2.6838632111050339E+02	  +2.4245091382749702E+03	
  +4.0000000000000000E+00	  +2.4473968998632517E-01	  +2.6838632111050339E+02	  +2.4233290250070440E+03	
  +4.1250000000000000E+00	  +2.4422842559615657E-01	  +2.6819280765309219E+02	  +2.4219195416689240E+03	
  +4.2500000000000000E+00	  +2.4321788130250427E-01	  +2.6781031686380140E+02	  +2.4198869696635356E+03	
  +4.3750000000000000E+00	  +2.4222319639409953E-01	  +2.6743382884828230E+02	  +2.4177563633504633E+03	
  +4.5000000000000000E+00	  +2.4124422901679560E-01	  +2.6706328991477193E+02	  +2.4158761527770494E+03	
  +4.6250000000000000E+00	  +2.4076059571212846E-01	  +2.6688023481704749E+02	  +2.4141628798787510E+03	
  +4.7500000000000000E+00	  +2.4076059571212846E-01	  +2.6688023481704749E+02	  +2.4130484855586983E+03	
  +4.8750000000000000E+00	  +2.4076059571212846E-01	  +2.6688023481704749E+02	  +2.4121531722763807E+03	
  +5.0000000000000000E+00	  +2.4076059571212846E-01	  +2.6688023481704749E+02	  +2.4111629238206683E+03	
  +5.1250000000000000E+00	  +2.3989227648323175E-01	  +2.6655157618297943E+02	  +2.4099217852219740E+03	
  +5.2500000000000000E+00	  +2.3819358690763717E-01	  +2.6590862255827398E+02	  +2.4075330058992458E+03	
  +5.3750000000000000E+00	  +2.3654483440374890E-01	  +2.6528457010404844E+02	  +2.4049903932573816E+03	
  +5.5000000000000000E+00	  +2.3494524651023441E-01	  +2.6467912644386115E+02	  +2.4026976501557288E+03	
  +5.6250000000000000E+00	  +2.3416365444938977E-01	  +2.6438329402351729E+02	  +2.4007375140776830E+03	
  +5.7500000000000000E+00	  +2.3416365444938977E-01	  +2.6438329402351729E+02	  +2.3998177229427474E+03	
  +5.8750000000000000E+00	  +2.3416365444938977E-01	  +2.6438329402351729E+02	  +2.3992302984689109E+03	
  +6.0000000000000000E+00	  +2.3416365444938977E-01	  +2.6438329402351729E+02	  +2.3983067014765843E+03	
  +6.1250000000000000E+00	  +2.3329482869739818E-01	  +2.6405444367057100E+02	  +2.3972973446418036E+03	
  +6.2500000000000000E+00	  +2.3160268506597298E-01	  +2.6341396768427063E+02	  +2.3949491497882191E+03	
  +6.3750000000000000E+00	  +2.2997038179727866E-01	  +2.6279614126188960E+02	  +2.3924767570596068E+03	
  +6.5000000000000000E+00	  +2.2839694696832638E-01	  +2.6220059653079392E+02	  +2.3903858320106692E+03	
  +6.6250000000000000E+00	  +2.2763201141580441E-01	  +2.6191106859512746E+02	  +2.3884627392773432E+03	
  +6.7500000000000000E+00	  +2.2763201141580441E-01	  +2.6191106859512746E+02	  +2.3876898926452418E+03	
  +6.8750000000000000E+00	  +2.2763201141580441E-01	  +2.6191106859512746E+02	  +2.3872164454957965E+03	
  +7.0000000000000000E+00	  +2.2763201141580441E-01	  +2.6191106859512746E+02	  +2.3863753281809572E+03	
  +7.1250000000000000E+00	  +2.2698065058012273E-01	  +2.6166452866440108E+02	  +2.3856432793692638E+03	
  +7.2500000000000000E+00	  +2.2571002205797316E-01	  +2.6118359605275293E+02	  +2.3835101117698864E+03	
  +7.3750000000000000E+00	  +2.2448171449594370E-01	  +2.6071868191505149E+02	  +2.3816609399154277E+03	
  +7.5000000000000000E+00	  +2.2329518097569159E-01	  +2.6026957924282635E+02	  +2.3798735443234905E+03	
