 TIME                    	m_steamhigh_sec          	m_steamlow_sec           	Qdh                      	
  +0.0000000000000000E+00	  +1.8720394927681638E+06	  +1.1932554194233333E+01	  +3.4984623751637992E+04	
  +1.2500000000000000E-01	  +5.9005346460032158E+00	  +0.0000000000000000E+00	  +3.4984623751637992E+04	
  +2.5000000000000000E-01	  +8.1609544807377059E+00	  +0.0000000000000000E+00	  +3.4984623751637992E+04	
  +3.7500000000000000E-01	  +8.2144270286291299E+00	  +0.0000000000000000E+00	  +3.4984623751637992E+04	
  +5.0000000000000000E-01	  +8.2632085429089184E+00	  +0.0000000000000000E+00	  +3.4984623751637992E+04	
  +6.2500000000000000E-01	  +8.3077954439691748E+00	  +0.0000000000000000E+00	  +3.4984623751637992E+04	
  +7.5000000000000000E-01	  +8.3472397426535494E+00	  +0.0000000000000000E+00	  +3.4984623751637992E+04	
  +8.7500000000000000E-01	  +8.3830636827499099E+00	  +0.0000000000000000E+00	  +3.4984623751637992E+04	
  +1.0000000000000000E+00	  +8.4178123202222785E+00	  +0.0000000000000000E+00	  +3.4984623751637992E+04	
  +1.1250000000000000E+00	  +8.3562007651357693E+00	  +0.0000000000000000E+00	  +3.4761354425281184E+04	
  +1.2500000000000000E+00	  +8.1905926571683256E+00	  +0.0000000000000000E+00	  +3.4315975070981076E+04	
  +1.3750000000000000E+00	  +8.0195411840073039E+00	  +4.8289185306848798E-01	  +3.3872141447899005E+04	
  +1.5000000000000000E+00	  +7.8313113852447218E+00	  +8.4829612006262833E-01	  +3.3429853556034977E+04	
  +1.6250000000000000E+00	  +7.7449240675726410E+00	  +1.1588432564481506E+00	  +3.3209289259309742E+04	
  +1.7500000000000000E+00	  +7.7565717513234391E+00	  +1.3651336036615582E+00	  +3.3209289259309742E+04	
  +1.8750000000000000E+00	  +7.7684317039986972E+00	  +1.6032124953480231E+00	  +3.3209289259309742E+04	
  +2.0000000000000000E+00	  +7.7795120968798290E+00	  +1.8176741419663125E+00	  +3.3209289259309742E+04	
  +2.1250000000000000E+00	  +7.7490836488128423E+00	  +2.0742277750888811E+00	  +3.3101407301491403E+04	
  +2.2500000000000000E+00	  +7.6758195335801975E+00	  +2.3402891013635578E+00	  +3.2885459345512638E+04	
  +2.3750000000000000E+00	  +7.5991334601152269E+00	  +2.5768836345541817E+00	  +3.2669266002411146E+04	
  +2.5000000000000000E+00	  +7.5217790630349324E+00	  +2.8198788192290674E+00	  +3.2452827272186911E+04	
  +2.6250000000000000E+00	  +7.4863348150653817E+00	  +3.0133081408653450E+00	  +3.2344515886903770E+04	
  +2.7500000000000000E+00	  +7.4948667954532269E+00	  +3.1543788130908181E+00	  +3.2344515886903770E+04	
  +2.8750000000000000E+00	  +7.5000497672577540E+00	  +3.3441485334881480E+00	  +3.2344515886903770E+04	
  +3.0000000000000000E+00	  +7.5069705574221901E+00	  +3.4754351830703802E+00	  +3.2344515886903770E+04	
  +3.1250000000000000E+00	  +7.4499578855315445E+00	  +3.7052440316944013E+00	  +3.2178752722926816E+04	
  +3.2500000000000000E+00	  +7.3330505061006779E+00	  +3.9408068490770538E+00	  +3.1844921748517132E+04	
  +3.3750000000000000E+00	  +7.2104387849216458E+00	  +4.1322734677153941E+00	  +3.1508017912166360E+04	
  +3.5000000000000000E+00	  +7.0938319107733125E+00	  +4.3461989039224571E+00	  +3.1168041213874509E+04	
  +3.6250000000000000E+00	  +7.0333433297875514E+00	  +4.4711797603316441E+00	  +3.0996900541500701E+04	
  +3.7500000000000000E+00	  +7.0367992825376708E+00	  +4.5647048871087463E+00	  +3.0996900541500701E+04	
  +3.8750000000000000E+00	  +7.0412050016513970E+00	  +4.6761230547931509E+00	  +3.0996900541500701E+04	
  +4.0000000000000000E+00	  +7.0442938801485102E+00	  +4.7748383165812021E+00	  +3.0996900541500701E+04	
  +4.1250000000000000E+00	  +7.1218445273349582E+00	  +4.7962029730389579E+00	  +3.1082460253058507E+04	
  +4.2500000000000000E+00	  +7.2738436073160182E+00	  +4.7557144626201673E+00	  +3.1252048694390691E+04	
  +4.3750000000000000E+00	  +7.4245614441024399E+00	  +4.7278422954260568E+00	  +3.1419595826678305E+04	
  +4.5000000000000000E+00	  +7.5729852154669972E+00	  +4.6948708412186653E+00	  +3.1585101649921358E+04	
  +4.6250000000000000E+00	  +7.6488433645629987E+00	  +4.7382354912686120E+00	  +3.1667089070651164E+04	
  +4.7500000000000000E+00	  +7.6520339745013208E+00	  +4.8340525971225308E+00	  +3.1667089070651164E+04	
  +4.8750000000000000E+00	  +7.6545338192606440E+00	  +4.9167756514928085E+00	  +3.1667089070651164E+04	
  +5.0000000000000000E+00	  +7.6573119438628625E+00	  +4.9998901948507752E+00	  +3.1667089070651164E+04	
  +5.1250000000000000E+00	  +7.7435798547451382E+00	  +4.9911745736747708E+00	  +3.1818860140817436E+04	
  +5.2500000000000000E+00	  +7.9162660583544930E+00	  +4.9259529860462230E+00	  +3.2122703724539020E+04	
  +5.3750000000000000E+00	  +8.0896271655841776E+00	  +4.8822234611853013E+00	  +3.2426949232779374E+04	
  +5.5000000000000000E+00	  +8.2624976224131093E+00	  +4.8309400940908018E+00	  +3.2731596665538462E+04	
  +5.6250000000000000E+00	  +8.3515182169396400E+00	  +4.8727512705542981E+00	  +3.2884071103612529E+04	
  +5.7500000000000000E+00	  +8.3542952689882011E+00	  +4.9680835386694930E+00	  +3.2884071103612529E+04	
  +5.8750000000000000E+00	  +8.3569496170653199E+00	  +5.0396511003969149E+00	  +3.2884071103612529E+04	
