Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ERV_1_HX:Heat Exchanger Total Heating Rate [W](Hourly),ERV_1_FANSUPPLY:Fan Electric Power [W](Hourly),ERV_1_FANSUPPLY:Fan Air Mass Flow Rate [kg/s](Hourly),ERV_1_FANEXHAUST:Fan Electric Power [W](Hourly),ERV_1_FANEXHAUST:Fan Air Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/27  01:00:00,-12.166666666666666,20.460891547640477,2235.962342074415,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,795.9627736791681,0.029996940000000004,59.9039459696404,49.60175082977434,1305.3811386726866,49.59148677656139,60.0,0.029996940000000004,4742572.099221671 
 01/27  02:00:00,-17.0,20.111927600062246,2393.3139149082203,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,802.6538653620488,0.029996940000000004,59.932985376994398,49.50825731796735,1304.9836672595436,49.5946576133265,60.0,0.029996940000000004,4741141.202134357 
 01/27  03:00:00,-17.0,20.094843108129078,2373.225984081161,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,803.2344449019319,0.029996940000000004,59.95324548402841,49.51983132623415,1305.5639281609854,49.59002857360519,60.0,0.029996940000000004,4743230.141379547 
 01/27  04:00:00,-17.0,20.08418469693964,2361.600865675258,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,803.5915231253085,0.029996940000000004,59.96738048106973,49.529336310746327,1305.5436164253297,49.5901906108141,60.0,0.029996940000000004,4743157.019131186 
 01/27  05:00:00,-16.941666666666668,20.028515276251377,2351.049444188062,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,809.1296005768772,0.030185722825520835,59.97725101545066,49.53443246509002,1313.5175510115748,49.59210773960357,60.0,0.030185722825520835,4771863.183641669 
 01/27  06:00:00,-16.783333333333336,20.013976073282895,2339.2695156648133,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,825.3276078765572,0.030882266354166675,59.98422910700226,49.566525767434949,1342.8792202393827,49.5994416639033,60.0,0.030882266354166675,4877565.192861778 
 01/27  07:00:00,-16.641666666666667,20.315630926318197,2341.687764096634,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,801.294804407302,0.029996940000000004,59.98906443606463,49.59247425798981,1302.852245163679,49.611661045887029,60.0,0.029996940000000004,4891868.0825892449 
 01/27  08:00:00,-16.133333333333338,20.208209026677154,2287.7931700585304,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,800.9815440396665,0.029996940000000004,59.99237051593005,49.595720691585409,1300.595774082156,49.62966202968363,60.0,0.029996940000000004,5034944.786695761 
 01/27  09:00:00,-15.333333333333334,17.806394491568907,1902.8054640549115,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,1249.8705529024153,0.0499949,59.8231950978664,49.98107843391264,2000.0,49.758850747464808,59.327026276777079,0.0499949,7502400.0 
 01/27  10:00:00,-14.533333333333334,17.20469186346672,1493.085415453357,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,1271.5100344433986,0.0499949,59.61434565422382,49.67874747594241,2000.0,49.793705065105289,59.36186464147019,0.0499949,7430400.0 
