Date/Time,DistrictHeating:Facility [J](Hourly) 
 01/27  01:00:00,4742572.099221671 
 01/27  02:00:00,4741141.202134357 
 01/27  03:00:00,4743230.141379547 
 01/27  04:00:00,4743157.019131186 
 01/27  05:00:00,4771863.183641669 
 01/27  06:00:00,4877565.192861778 
 01/27  07:00:00,4891868.0825892449 
 01/27  08:00:00,5034944.786695761 
 01/27  09:00:00,7502400.0 
 01/27  10:00:00,7430400.0 
 01/27  11:00:00,7394400.0 
 01/27  12:00:00,7437600.0 
 01/27  13:00:00,7495200.0 
 01/27  14:00:00,7452000.0 
 01/27  15:00:00,7444800.0 
 01/27  16:00:00,7408800.0 
 01/27  17:00:00,7430400.0 
 01/27  18:00:00,7560000.0 
 01/27  19:00:00,5155143.527629292 
 01/27  20:00:00,4973444.067561187 
 01/27  21:00:00,4956229.48829606 
 01/27  22:00:00,3325782.496124703 
 01/27  23:00:00,3354126.937155129 
 01/27  24:00:00,3983087.6309793835 
