Date/Time,DistrictHeating:Facility [J](Hourly) 
 01/25  01:00:00,6105614.469314045 
 01/25  02:00:00,6122328.035161477 
 01/25  03:00:00,6156544.873296943 
 01/25  04:00:00,6187105.4907963019 
 01/25  05:00:00,6208403.1306359949 
 01/25  06:00:00,6221906.076814838 
 01/25  07:00:00,6226744.912471655 
 01/25  08:00:00,6224065.143484954 
 01/25  09:00:00,6218806.198076344 
 01/25  10:00:00,6210754.316647745 
 01/25  11:00:00,6196306.005827379 
 01/25  12:00:00,6174252.382359061 
 01/25  13:00:00,6148202.527428703 
 01/25  14:00:00,6124131.072394899 
 01/25  15:00:00,6108220.36851963 
 01/25  16:00:00,6103333.381086303 
 01/25  17:00:00,6107105.477420076 
 01/25  18:00:00,6113168.682576831 
 01/25  19:00:00,6116771.950332485 
 01/25  20:00:00,6118548.716946747 
 01/25  21:00:00,6118214.952437699 
 01/25  22:00:00,6116058.214975495 
 01/25  23:00:00,6112827.131014298 
 01/25  24:00:00,6108479.486857747 
 01/26  01:00:00,6103525.818092676 
 01/26  02:00:00,6099013.043934893 
 01/26  03:00:00,6099161.3447488839 
 01/26  04:00:00,6106820.181880558 
 01/26  05:00:00,6119451.246240406 
 01/26  06:00:00,6136741.430668145 
 01/26  07:00:00,6157298.832482964 
 01/26  08:00:00,6179646.552294375 
 01/26  09:00:00,6200476.608021467 
 01/26  10:00:00,6214869.441857495 
 01/26  11:00:00,6219207.019935417 
 01/26  12:00:00,6214193.562947117 
 01/26  13:00:00,6205741.775000132 
 01/26  14:00:00,5962207.177377459 
 01/26  15:00:00,5277575.178406223 
 01/26  16:00:00,6125003.146188432 
 01/26  17:00:00,6196166.267485343 
 01/26  18:00:00,6223423.108859654 
 01/26  19:00:00,6264948.527917821 
 01/26  20:00:00,6306417.863981332 
 01/26  21:00:00,6345957.946228408 
 01/26  22:00:00,6383525.801283676 
 01/26  23:00:00,6418144.946444144 
 01/26  24:00:00,6449859.990646019 
 01/27  01:00:00,6479500.463664204 
 01/27  02:00:00,6507587.844809869 
 01/27  03:00:00,6530535.785637065 
 01/27  04:00:00,6544039.393012496 
 01/27  05:00:00,6549892.991721818 
 01/27  06:00:00,6554649.700539582 
 01/27  07:00:00,6557020.822191933 
 01/27  08:00:00,6555046.290603506 
 01/27  09:00:00,6546141.7535394369 
 01/27  10:00:00,6521877.518443683 
 01/27  11:00:00,6470743.714134138 
 01/27  12:00:00,6395887.028783512 
 01/27  13:00:00,6313378.114933139 
 01/27  14:00:00,6237738.246165025 
 01/27  15:00:00,6189497.886548786 
 01/27  16:00:00,6180161.991521223 
 01/27  17:00:00,6198618.134220696 
 01/27  18:00:00,6224210.051994503 
 01/27  19:00:00,6241574.33302133 
 01/27  20:00:00,6246900.719673118 
 01/27  21:00:00,6240804.280796119 
 01/27  22:00:00,6223021.9452365799 
 01/27  23:00:00,6196431.147109449 
 01/27  24:00:00,6167748.345702116 
