Seville, Spain
37.36, -5.96

     Day [#],    Time [hr],       Ta [K],      Pa [Pa],    Ib [W/m2]
           1,     0.000000,     279.8500,    101240.94,       0.0000
           1,     0.166667,     280.4571,    101240.94,       0.0000
           1,     0.333333,     281.0411,    101240.94,       0.0000
           1,     0.500000,     281.6162,    101240.94,       0.0000
           1,     0.666667,     282.1674,    101240.94,       0.0000
           1,     0.833333,     282.6920,    101240.94,       0.0000
           1,     1.000000,     283.1834,    101240.94,       0.0000
           1,     1.166667,     283.6379,    101240.94,       0.0000
           1,     1.333333,     284.0521,    101240.94,       0.0000
           1,     1.500000,     284.4239,    101240.94,       0.0000
           1,     1.666667,     284.7522,    101240.94,       0.0000
           1,     1.833333,     285.0369,    101240.94,       0.0000
           1,     2.000000,     285.2789,    101240.94,       0.0000
           1,     2.166667,     285.4798,    101240.94,       0.0000
           1,     2.333333,     285.6418,    101240.94,       0.0000
           1,     2.500000,     285.7677,    101240.94,       0.0000
           1,     2.666667,     285.8608,    101240.94,       0.0000
           1,     2.833333,     285.9244,    101240.94,       0.0000
           1,     3.000000,     285.9619,    101240.94,       0.0000
           1,     3.166667,     285.9767,    101240.94,       0.0000
           1,     3.333333,     285.9720,    101240.94,       0.0000
           1,     3.500000,     285.9510,    101240.94,       0.0000
           1,     3.666667,     285.9164,    101240.94,       0.0000
           1,     3.833333,     285.8707,    101240.94,       0.0000
           1,     4.000000,     285.8160,    101240.94,       0.0000
           1,     4.166667,     285.7542,    101240.94,       0.0000
           1,     4.333333,     285.6869,    101240.94,       0.0000
           1,     4.500000,     285.6154,    101240.94,       0.0000
           1,     4.666667,     285.5407,    101240.94,       0.0000
           1,     4.833333,     285.4638,    101240.94,       0.0000
           1,     5.000000,     285.3853,    101240.94,       0.0000
           1,     5.166667,     285.3059,    101240.94,       0.0000
           1,     5.333333,     285.2261,    101240.94,       0.0000
           1,     5.500000,     285.1463,    101240.94,       0.0000
           1,     5.666667,     285.0670,    101240.94,       0.0000
           1,     5.833333,     284.9886,    101240.94,       0.0000
           1,     6.000000,     284.9117,    101240.94,       0.0000
           1,     6.166667,     284.8368,    101240.94,       0.0000
           1,     6.333333,     284.7645,    101240.94,       0.0000
           1,     6.500000,     284.6958,    101240.94,       0.0000
           1,     6.666667,     284.6314,    101240.94,       0.0000
           1,     6.833333,     284.5724,    101240.94,       0.0000
           1,     7.000000,     284.5199,    101240.94,       0.0000
           1,     7.166667,     284.4753,    101240.94,       0.0000
           1,     7.333333,     284.4399,    101240.94,       0.0000
           1,     7.500000,     284.4154,    101240.94,       9.9396
           1,     7.666667,     284.4032,    101240.94,      10.4493
           1,     7.833333,     284.4050,    101240.94,      25.1253
           1,     8.000000,     284.4223,    101240.94,      68.1989
           1,     8.166667,     284.4569,    101240.94,     116.3975
           1,     8.333333,     284.5100,    101240.94,     155.3866
           1,     8.500000,     284.5829,    101240.94,     188.5749
           1,     8.666667,     284.6767,    101240.94,     225.5060
           1,     8.833333,     284.7921,    101240.94,     263.7271
           1,     9.000000,     284.9297,    101240.94,     300.3349
           1,     9.166667,     285.0894,    101240.94,     342.8604
           1,     9.333333,     285.2711,    101240.94,     389.3869
           1,     9.500000,     285.4742,    101240.94,     433.9725
           1,     9.666667,     285.6975,    101240.94,     476.2109
           1,     9.833333,     285.9399,    101240.94,     518.9808
           1,    10.000000,     286.1997,    101240.94,     566.8474
           1,    10.166667,     286.4750,    101240.94,     599.7005
           1,    10.333333,     286.7636,    101240.94,     629.6865
           1,    10.500000,     287.0633,    101240.94,     660.8216
           1,    10.666667,     287.3717,    101240.94,     675.5111
           1,    10.833333,     287.6863,    101240.94,     686.0654
           1,    11.000000,     288.0048,    101240.94,     702.3478
           1,    11.166667,     288.3247,    101240.94,     715.1740
           1,    11.333333,     288.6440,    101240.94,     727.3544
           1,    11.500000,     288.9603,    101240.94,     743.9363
           1,    11.666667,     289.2718,    101240.94,     766.4714
           1,    11.833333,     289.5768,    101240.94,     781.8571
           1,    12.000000,     289.8736,    101240.94,     776.7178
           1,    12.166667,     290.1610,    101240.94,     775.9845
           1,    12.333333,     290.4376,    101240.94,     767.2018
           1,    12.500000,     290.7025,    101240.94,     738.1553
           1,    12.666667,     290.9549,    101240.94,     739.5992
           1,    12.833333,     291.1940,    101240.94,     741.7668
           1,    13.000000,     291.4192,    101240.94,     717.3188
           1,    13.166667,     291.6301,    101240.94,     700.9272
           1,    13.333333,     291.8261,    101240.94,     688.1824
           1,    13.500000,     292.0070,    101240.94,     677.6179
           1,    13.666667,     292.1724,    101240.94,     659.4279
           1,    13.833333,     292.3221,    101240.94,     631.0603
           1,    14.000000,     292.4557,    101240.94,     591.6018
           1,    14.166667,     292.5731,    101240.94,     566.1830
           1,    14.333333,     292.6741,    101240.94,     539.8029
           1,    14.500000,     292.7586,    101240.94,     503.5307
           1,    14.666667,     292.8264,    101240.94,     450.6004
           1,    14.833333,     292.8774,    101240.94,     395.9217
           1,    15.000000,     292.9118,    101240.94,     351.4486
           1,    15.166667,     292.9296,    101240.94,     308.5956
           1,    15.333333,     292.9311,    101240.94,     264.2553
           1,    15.500000,     292.9166,    101240.94,     217.4714
           1,    15.666667,     292.8866,    101240.94,     179.9936
           1,    15.833333,     292.8416,    101240.94,     148.6060
           1,    16.000000,     292.7823,    101240.94,     110.9605
           1,    16.166667,     292.7097,    101240.94,      64.9087
           1,    16.333333,     292.6247,    101240.94,      23.9462
           1,    16.500000,     292.5284,    101240.94,      10.1940
           1,    16.666667,     292.4220,    101240.94,       9.9396
           1,    16.833333,     292.3067,    101240.94,       0.0000
           1,    17.000000,     292.1838,    101240.94,       0.0000
           1,    17.166667,     292.0548,    101240.94,       0.0000
           1,    17.333333,     291.9209,    101240.94,       0.0000
           1,    17.500000,     291.7834,    101240.94,       0.0000
           1,    17.666667,     291.6435,    101240.94,       0.0000
           1,    17.833333,     291.5025,    101240.94,       0.0000
