Ouarzazate, Morocco
30.92, -6.90

     Day [#],    Time [hr],       Ta [K],      Pa [Pa],    Ib [W/m2]
           1,     0.000000,     280.4500,     88400.05,       0.0000
           1,     0.166667,     281.1833,     88400.05,       0.0000
           1,     0.333333,     281.9167,     88400.05,       0.0000
           1,     0.500000,     282.6173,     88400.05,       0.0000
           1,     0.666667,     283.2527,     88400.05,       0.0000
           1,     0.833333,     283.7900,     88400.05,       0.0000
           1,     1.000000,     284.1967,     88400.05,       0.0000
           1,     1.166667,     284.4400,     88400.05,       0.0000
           1,     1.333333,     284.5527,     88400.05,       0.0000
           1,     1.500000,     284.5667,     88400.05,       0.0000
           1,     1.666667,     284.5140,     88400.05,       0.0000
           1,     1.833333,     284.4267,     88400.05,       0.0000
           1,     2.000000,     284.3367,     88400.05,       0.0000
           1,     2.166667,     284.2433,     88400.05,       0.0000
           1,     2.333333,     284.1473,     88400.05,       0.0000
           1,     2.500000,     284.0493,     88400.05,       0.0000
           1,     2.666667,     283.9500,     88400.05,       0.0000
           1,     2.833333,     283.8500,     88400.05,       0.0000
           1,     3.000000,     283.7500,     88400.05,       0.0000
           1,     3.166667,     283.6500,     88400.05,       0.0000
           1,     3.333333,     283.5500,     88400.05,       0.0000
           1,     3.500000,     283.4507,     88400.05,       0.0000
           1,     3.666667,     283.3527,     88400.05,       0.0000
           1,     3.833333,     283.2567,     88400.05,       0.0000
           1,     4.000000,     283.1633,     88400.05,       0.0000
           1,     4.166667,     283.0733,     88400.05,       0.0000
           1,     4.333333,     282.9860,     88400.05,       0.0000
           1,     4.500000,     282.9000,     88400.05,       0.0000
           1,     4.666667,     282.8140,     88400.05,       0.0000
           1,     4.833333,     282.7267,     88400.05,       0.0000
           1,     5.000000,     282.6367,     88400.05,       0.0000
           1,     5.166667,     282.5433,     88400.05,       0.0000
           1,     5.333333,     282.4473,     88400.05,       0.0000
           1,     5.500000,     282.3500,     88400.05,       0.0000
           1,     5.666667,     282.2527,     88400.05,       0.0000
           1,     5.833333,     282.1567,     88400.05,       0.0000
           1,     6.000000,     282.0633,     88400.05,       0.0000
           1,     6.166667,     281.9733,     88400.05,       0.0000
           1,     6.333333,     281.8860,     88400.05,       0.0000
           1,     6.500000,     281.8040,     88400.05,       0.0000
           1,     6.666667,     281.7300,     88400.05,       0.0000
           1,     6.833333,     281.6667,     88400.05,       0.0000
           1,     7.000000,     281.6167,     88400.05,       0.0000
           1,     7.166667,     281.5833,     88400.05,      36.9725
           1,     7.333333,     281.5633,     88400.05,      45.8956
           1,     7.500000,     281.5693,     88400.05,     107.0499
           1,     7.666667,     281.6140,     88400.05,     242.4808
           1,     7.833333,     281.7100,     88400.05,     351.9084
           1,     8.000000,     281.8700,     88400.05,     421.4380
           1,     8.166667,     282.1100,     88400.05,     483.9013
           1,     8.333333,     282.4140,     88400.05,     528.6227
           1,     8.500000,     282.7700,     88400.05,     565.1849
           1,     8.666667,     283.1660,     88400.05,     617.9937
           1,     8.833333,     283.5900,     88400.05,     659.4433
           1,     9.000000,     284.0300,     88400.05,     691.6618
           1,     9.166667,     284.4900,     88400.05,     717.6383
           1,     9.333333,     284.9660,     88400.05,     733.7717
           1,     9.500000,     285.4527,     88400.05,     741.8100
           1,     9.666667,     285.9447,     88400.05,     747.6930
           1,     9.833333,     286.4367,     88400.05,     765.8147
           1,    10.000000,     286.9233,     88400.05,     786.4894
           1,    10.166667,     287.4033,     88400.05,     794.4102
           1,    10.333333,     287.8780,     88400.05,     804.9451
           1,    10.500000,     288.3453,     88400.05,     815.9752
           1,    10.666667,     288.8033,     88400.05,     822.7875
           1,    10.833333,     289.2500,     88400.05,     829.0650
           1,    11.000000,     289.6833,     88400.05,     833.7665
           1,    11.166667,     290.1000,     88400.05,     834.8105
           1,    11.333333,     290.5033,     88400.05,     842.1107
           1,    11.500000,     290.8920,     88400.05,     853.5554
           1,    11.666667,     291.2647,     88400.05,     868.0741
           1,    11.833333,     291.6200,     88400.05,     879.4454
           1,    12.000000,     291.9567,     88400.05,     885.1192
           1,    12.166667,     292.2700,     88400.05,     877.3802
           1,    12.333333,     292.5647,     88400.05,     874.7973
           1,    12.500000,     292.8400,     88400.05,     875.3140
           1,    12.666667,     293.0953,     88400.05,     872.7298
           1,    12.833333,     293.3300,     88400.05,     870.1440
           1,    13.000000,     293.5433,     88400.05,     865.4853
           1,    13.166667,     293.7300,     88400.05,     858.7466
           1,    13.333333,     293.8953,     88400.05,     856.6709
           1,    13.500000,     294.0407,     88400.05,     856.1519
           1,    13.666667,     294.1673,     88400.05,     849.3975
           1,    13.833333,     294.2767,     88400.05,     833.7665
           1,    14.000000,     294.3700,     88400.05,     814.9261
           1,    14.166667,     294.4433,     88400.05,     805.4711
           1,    14.333333,     294.5007,     88400.05,     792.8274
           1,    14.500000,     294.5420,     88400.05,     779.6108
           1,    14.666667,     294.5673,     88400.05,     773.7804
           1,    14.833333,     294.5767,     88400.05,     757.2984
           1,    15.000000,     294.5700,     88400.05,     731.0881
           1,    15.166667,     294.5433,     88400.05,     704.1344
           1,    15.333333,     294.5007,     88400.05,     672.0422
           1,    15.500000,     294.4393,     88400.05,     633.5357
           1,    15.666667,     294.3567,     88400.05,     585.5291
           1,    15.833333,     294.2500,     88400.05,     536.0920
           1,    16.000000,     294.1167,     88400.05,     482.7282
           1,    16.166667,     293.9500,     88400.05,     420.2297
           1,    16.333333,     293.7567,     88400.05,     350.6526
           1,    16.500000,     293.5400,     88400.05,     241.8009
           1,    16.666667,     293.3033,     88400.05,     106.2400
           1,    16.833333,     293.0500,     88400.05,      45.8956
           1,    17.000000,     292.7833,     88400.05,      36.9725
           1,    17.166667,     292.5000,     88400.05,       0.0000
           1,    17.333333,     292.2033,     88400.05,       0.0000
           1,    17.500000,     291.9020,     88400.05,       0.0000
           1,    17.666667,     291.6047,     88400.05,       0.0000
           1,    17.833333,     291.3200,     88400.05,       0.0000
           1,    18.000000,     291.0567,     88400.05,       0.0000
           1,    18.166667,     290.8200,     88400.05,       0.0000
           1,    18.333333,     290.6047,     88400.05,       0.0000
           1,    18.500000,     290.4047,     88400.05,       0.0000
           1,    18.666667,     290.2140,     88400.05,       0.0000
           1,    18.833333,     290.0267,     88400.05,       0.0000
           1,    19.000000,     289.8367,     88400.05,       0.0000
           1,    19.166667,     289.6433,     88400.05,       0.0000
           1,    19.333333,     289.4473,     88400.05,       0.0000
           1,    19.500000,     289.2500,     88400.05,       0.0000
           1,    19.666667,     289.0527,     88400.05,       0.0000
           1,    19.833333,     288.8567,     88400.05,       0.0000
           1,    20.000000,     288.6633,     88400.05,       0.0000
           1,    20.166667,     288.4733,     88400.05,       0.0000
           1,    20.333333,     288.2860,     88400.05,       0.0000
           1,    20.500000,     288.1007,     88400.05,       0.0000
           1,    20.666667,     287.9167,     88400.05,       0.0000
           1,    20.833333,     287.7333,     88400.05,       0.0000
           1,    21.000000,     287.5500,     88400.05,       0.0000
           1,    21.166667,     287.3667,     88400.05,       0.0000
           1,    21.333333,     287.1833,     88400.05,       0.0000
           1,    21.500000,     287.0000,     88400.05,       0.0000
           1,    21.666667,     286.8167,     88400.05,       0.0000
           1,    21.833333,     286.6333,     88400.05,       0.0000
           1,    22.000000,     286.4500,     88400.05,       0.0000
           1,    22.166667,     286.2667,     88400.05,       0.0000
           1,    22.333333,     286.0833,     88400.05,       0.0000
           1,    22.500000,     285.8993,     88400.05,       0.0000
           1,    22.666667,     285.7140,     88400.05,       0.0000
           1,    22.833333,     285.5267,     88400.05,       0.0000
           1,    23.000000,     285.3367,     88400.05,       0.0000
           1,    23.166667,     285.1433,     88400.05,       0.0000
           1,    23.333333,     284.9473,     88400.05,       0.0000
           1,    23.500000,     284.7500,     88400.05,       0.0000
           1,    23.666667,     284.5527,     88400.05,       0.0000
           1,    23.833333,     284.3567,     88400.05,       0.0000
           2,     0.000000,     284.1633,     88400.05,       0.0000
           2,     0.166667,     283.9733,     88400.05,       0.0000
           2,     0.333333,     283.7860,     88400.05,       0.0000
           2,     0.500000,     283.6007,     88400.05,       0.0000
           2,     0.666667,     283.4167,     88400.05,       0.0000
           2,     0.833333,     283.2333,     88400.05,       0.0000
           2,     1.000000,     283.0500,     88400.05,       0.0000
           2,     1.166667,     282.8667,     88400.05,       0.0000
           2,     1.333333,     282.6833,     88400.05,       0.0000
           2,     1.500000,     282.5000,     88400.05,       0.0000
           2,     1.666667,     282.3167,     88400.05,       0.0000
           2,     1.833333,     282.1333,     88400.05,       0.0000
           2,     2.000000,     281.9500,     88400.05,       0.0000
           2,     2.166667,     281.7667,     88400.05,       0.0000
           2,     2.333333,     281.5833,     88400.05,       0.0000
           2,     2.500000,     281.4000,     88400.05,       0.0000
           2,     2.666667,     281.2167,     88400.05,       0.0000
           2,     2.833333,     281.0333,     88400.05,       0.0000
