Kuraymat, Egypt
29.24, 31.22

     Day [#],    Time [hr],       Ta [K],      Pa [Pa],    Ib [W/m2]
           1,     0.000000,     284.1500,    100606.78,       0.0000
           1,     0.166667,     284.8300,    100606.78,       0.0000
           1,     0.333333,     285.6380,    100606.78,       0.0000
           1,     0.500000,     286.4293,    100606.78,       0.0000
           1,     0.666667,     287.2247,    100606.78,       0.0000
           1,     0.833333,     287.9387,    100606.78,       0.0000
           1,     1.000000,     288.5400,    100606.78,       0.0000
           1,     1.166667,     288.9733,    100606.78,       0.0000
           1,     1.333333,     289.2387,    100606.78,       0.0000
           1,     1.500000,     289.3733,    100606.78,       0.0000
           1,     1.666667,     289.4147,    100606.78,       0.0000
           1,     1.833333,     289.4000,    100606.78,       0.0000
           1,     2.000000,     289.3667,    100606.78,       0.0000
           1,     2.166667,     289.3333,    100606.78,       0.0000
           1,     2.333333,     289.3000,    100606.78,       0.0000
           1,     2.500000,     289.2663,    100606.78,       0.0000
           1,     2.666667,     289.2317,    100606.78,       0.0000
           1,     2.833333,     289.1953,    100606.78,       0.0000
           1,     3.000000,     289.1567,    100606.78,       0.0000
           1,     3.166667,     289.1150,    100606.78,       0.0000
           1,     3.333333,     289.0703,    100606.78,       0.0000
           1,     3.500000,     289.0237,    100606.78,       0.0000
           1,     3.666667,     288.9763,    100606.78,       0.0000
           1,     3.833333,     288.9297,    100606.78,       0.0000
           1,     4.000000,     288.8850,    100606.78,       0.0000
           1,     4.166667,     288.8433,    100606.78,       0.0000
           1,     4.333333,     288.8047,    100606.78,       0.0000
           1,     4.500000,     288.7683,    100606.78,       0.0000
           1,     4.666667,     288.7337,    100606.78,       0.0000
           1,     4.833333,     288.7000,    100606.78,       0.0000
           1,     5.000000,     288.6667,    100606.78,       0.0000
           1,     5.166667,     288.6333,    100606.78,       0.0000
           1,     5.333333,     288.6000,    100606.78,       0.0000
           1,     5.500000,     288.5667,    100606.78,       0.0000
           1,     5.666667,     288.5333,    100606.78,       0.0000
           1,     5.833333,     288.5000,    100606.78,       0.0000
           1,     6.000000,     288.4667,    100606.78,       0.0000
           1,     6.166667,     288.4333,    100606.78,       0.0000
           1,     6.333333,     288.4000,    100606.78,       0.0000
           1,     6.500000,     288.3703,    100606.78,       0.0000
           1,     6.666667,     288.3517,    100606.78,       0.0000
           1,     6.833333,     288.3513,    100606.78,       0.0000
           1,     7.000000,     288.3767,    100606.78,       0.0000
           1,     7.166667,     288.4350,    100606.78,      79.7885
           1,     7.333333,     288.5263,    100606.78,      66.2176
           1,     7.500000,     288.6430,    100606.78,      98.7055
           1,     7.666667,     288.7770,    100606.78,     165.8771
