 TIME                    	HPT2pin                  	HPT1pin                  	HPT2mout                 	HPT1mout                 	
  +0.0000000000000000E+00	  +8.5450438900000005E+00	  +3.0304998160000007E+01	  +1.2410919866327000E+05	  +1.3672030532873003E+05	
  +1.2500000000000000E-01	  +2.2456191997910704E-01	  +2.2456191997910704E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E-01	  +4.3478307108755718E+00	  +1.9475331865852727E+01	  +1.7712711914403135E+04	  +1.8988851063544305E+04	
  +3.7500000000000000E-01	  +4.8097532809009964E+00	  +2.1559100462043677E+01	  +1.9595699033869041E+04	  +2.1021879666538851E+04	
  +5.0000000000000000E-01	  +5.2684913991294096E+00	  +2.3642602301566239E+01	  +2.1463451581844543E+04	  +2.3054908269533393E+04	
  +6.2500000000000000E-01	  +5.7252087252287831E+00	  +2.5725739315048976E+01	  +2.3320506886941686E+04	  +2.5087936872527938E+04	
  +7.5000000000000000E-01	  +6.1802948300711558E+00	  +2.7808476785008924E+01	  +2.5170498254469167E+04	  +2.7120965475522484E+04	
  +8.7500000000000000E-01	  +6.6388077498134717E+00	  +2.9891863482873788E+01	  +2.7034458662538236E+04	  +2.9153994078517022E+04	
  +1.0000000000000000E+00	  +7.0971932615927971E+00	  +3.1975478823494171E+01	  +2.8896889890939863E+04	  +3.1187022681511567E+04	
  +1.1250000000000000E+00	  +7.5502194948675907E+00	  +3.4057697984361234E+01	  +3.0734059443307495E+04	  +3.3220051284506117E+04	
  +1.2500000000000000E+00	  +7.9977908212202484E+00	  +3.6125056352827514E+01	  +3.2545411079144764E+04	  +3.5238564945604929E+04	
  +1.3750000000000000E+00	  +8.4443753970819539E+00	  +3.8180925524515764E+01	  +3.4364710512431440E+04	  +3.7246076085246350E+04	
  +1.5000000000000000E+00	  +8.6261280674251672E+00	  +3.9015961273237465E+01	  +3.5104765471588136E+04	  +3.8061461506260777E+04	
  +1.6250000000000000E+00	  +8.8445110374283136E+00	  +4.0019898555934880E+01	  +3.5994353053249783E+04	  +3.9041649741879199E+04	
  +1.7500000000000000E+00	  +9.0724114865507559E+00	  +4.1070598927764628E+01	  +3.6925100799266744E+04	  +4.0067642832968922E+04	
  +1.8750000000000000E+00	  +9.3368033832580526E+00	  +4.2302963486046508E+01	  +3.8004296967776485E+04	  +4.1271045078909621E+04	
  +2.0000000000000000E+00	  +9.5743020474493061E+00	  +4.3399767454914382E+01	  +3.8974013571097210E+04	  +4.2342188644346315E+04	
  +2.1250000000000000E+00	  +9.8104826198682193E+00	  +4.4491520574028563E+01	  +3.9938104206761884E+04	  +4.3408394812847408E+04	
  +2.2500000000000000E+00	  +1.0008911575170172E+01	  +4.5397189905228586E+01	  +4.0748552108853211E+04	  +4.4292930657122910E+04	
  +2.3750000000000000E+00	  +1.0179163788884365E+01	  +4.6184946692818357E+01	  +4.1443250463166929E+04	  +4.5062300648531280E+04	
  +2.5000000000000000E+00	  +1.0348793814908010E+01	  +4.6968806307586306E+01	  +4.2135400486307051E+04	  +4.5827814440189693E+04	
  +2.6250000000000000E+00	  +1.0500328905876730E+01	  +4.7669281771387539E+01	  +4.2753824278698681E+04	  +4.6511906822154371E+04	
  +2.7500000000000000E+00	  +1.0669089256945428E+01	  +4.8445543772232867E+01	  +4.3441419901198933E+04	  +4.7269825517429810E+04	
  +2.8750000000000000E+00	  +1.0857711857787633E+01	  +4.9317145493302014E+01	  +4.4214353977498045E+04	  +4.8123980481597595E+04	
  +3.0000000000000000E+00	  +1.1013516399083185E+01	  +5.0031142718498529E+01	  +4.4845793359798983E+04	  +4.8820827652794134E+04	
  +3.1250000000000000E+00	  +1.1189359722330996E+01	  +5.0843412224065794E+01	  +4.5562192507299427E+04	  +4.9611263230620316E+04	
  +3.2500000000000000E+00	  +1.1292702568116241E+01	  +5.1320998082210409E+01	  +4.5984830589174453E+04	  +5.0079465155528320E+04	
  +3.3750000000000000E+00	  +1.1369472213343229E+01	  +5.1674812148095512E+01	  +4.6296918449764649E+04	  +5.0424501574389360E+04	
  +3.5000000000000000E+00	  +1.1447107985152993E+01	  +5.2058408857930971E+01	  +4.6609373487410696E+04	  +5.0799183369630860E+04	
  +3.6250000000000000E+00	  +1.1509170123094153E+01	  +5.2335360114363993E+01	  +4.6862074259266075E+04	  +5.1069194827769563E+04	
  +3.7500000000000000E+00	  +1.1607573866666396E+01	  +5.2801267306618875E+01	  +4.7262976620288631E+04	  +5.1524650338343781E+04	
  +3.8750000000000000E+00	  +1.1726158140787231E+01	  +5.3355719267822288E+01	  +4.7746694495067059E+04	  +5.2066469842369239E+04	
  +4.0000000000000000E+00	  +1.1832495152666167E+01	  +5.3842563662005212E+01	  +4.8180324771574000E+04	  +5.2541680716084171E+04	
  +4.1250000000000000E+00	  +1.1937760422518153E+01	  +5.4328742911536445E+01	  +4.8609659772200190E+04	  +5.3016534190536477E+04	
  +4.2500000000000000E+00	  +1.2058572510108153E+01	  +5.4895067883977362E+01	  +4.9104155473812149E+04	  +5.3569905713884044E+04	
  +4.3750000000000000E+00	  +1.2192178036399021E+01	  +5.5518694960564986E+01	  +4.9650025414956312E+04	  +5.4179234708074786E+04	
  +4.5000000000000000E+00	  +1.2319571697805229E+01	  +5.6107254309599952E+01	  +5.0170635370025346E+04	  +5.4754005725939904E+04	
  +4.6250000000000000E+00	  +1.2447454229236122E+01	  +5.6699141653698717E+01	  +5.0691709426649817E+04	  +5.5332129413520626E+04	
  +4.7500000000000000E+00	  +1.2552426518439788E+01	  +5.7177715832497718E+01	  +5.1120322550401172E+04	  +5.5799068979424323E+04	
  +4.8750000000000000E+00	  +1.2641791898868226E+01	  +5.7585979097969286E+01	  +5.1484764334307612E+04	  +5.6197536197125482E+04	
  +5.0000000000000000E+00	  +1.2731193107379404E+01	  +5.7999704095190111E+01	  +5.1849233004665934E+04	  +5.6601585301929459E+04	
  +5.1250000000000000E+00	  +1.2816084994902758E+01	  +5.8391014141829338E+01	  +5.2195821618912523E+04	  +5.6983748667170526E+04	
  +5.2500000000000000E+00	  +1.2934533376174203E+01	  +5.8954663059858554E+01	  +5.2680825692918450E+04	  +5.7534834204321378E+04	
  +5.3750000000000000E+00	  +1.3078247871090237E+01	  +5.9631166847495109E+01	  +5.3268412110394682E+04	  +5.8196111629962092E+04	
  +5.5000000000000000E+00	  +1.3215972290380970E+01	  +6.0268770499959153E+01	  +5.3831687537110432E+04	  +5.8818868200222059E+04	
  +5.6250000000000000E+00	  +1.3358334422534352E+01	  +6.0930555180464893E+01	  +5.4411946530734145E+04	  +5.9465394974678173E+04	
  +5.7500000000000000E+00	  +1.3463047637069385E+01	  +6.1402770831774610E+01	  +5.4839983587494149E+04	  +5.9925941108465544E+04	
  +5.8750000000000000E+00	  +1.3541166761837433E+01	  +6.1755248738225703E+01	  +5.5158781722360000E+04	  +6.0269761891905917E+04	
  +6.0000000000000000E+00	  +1.3623513498736990E+01	  +6.2138410822798953E+01	  +5.5494216034696175E+04	  +6.0644075720920642E+04	
  +6.1250000000000000E+00	  +1.3699155273427133E+01	  +6.2486652663760196E+01	  +5.5803460138297829E+04	  +6.0984142430360356E+04	
  +6.2500000000000000E+00	  +1.3816538017722316E+01	  +6.3050629961271547E+01	  +5.6284274705666379E+04	  +6.1535754190604639E+04	
  +6.3750000000000000E+00	  +1.3961339577813844E+01	  +6.3735217708181949E+01	  +5.6876720052562712E+04	  +6.2205044505051628E+04	
  +6.5000000000000000E+00	  +1.4100235684668254E+01	  +6.4379989904700523E+01	  +5.7445489304075920E+04	  +6.2834906178349396E+04	
  +6.6250000000000000E+00	  +1.4243421787590508E+01	  +6.5047696356563648E+01	  +5.8029922886527027E+04	  +6.3487301125794635E+04	
  +6.7500000000000000E+00	  +1.4343769749308958E+01	  +6.5504983212909991E+01	  +5.8440386622368409E+04	  +6.3933547625655221E+04	
  +6.8750000000000000E+00	  +1.4415999980654325E+01	  +6.5835144862650182E+01	  +5.8735331096260445E+04	  +6.4255869818461331E+04	
  +7.0000000000000000E+00	  +1.4493462513360555E+01	  +6.6200847765659589E+01	  +5.9050858924075226E+04	  +6.4613354077762051E+04	
  +7.1250000000000000E+00	  +1.4564286327136685E+01	  +6.6531358473383847E+01	  +5.9340412630237231E+04	  +6.4936351103393165E+04	
  +7.2500000000000000E+00	  +1.4674919085128392E+01	  +6.7067854017932248E+01	  +5.9792853501307320E+04	  +6.5461250331201300E+04	
  +7.3750000000000000E+00	  +1.4799606490526092E+01	  +6.7660440661548449E+01	  +6.0303017802818125E+04	  +6.6040755238109574E+04	
  +7.5000000000000000E+00	  +1.4926081631104477E+01	  +6.8257793938082045E+01	  +6.0820207286470526E+04	  +6.6624740550628252E+04	
  +7.6250000000000000E+00	  +1.5054594811189515E+01	  +6.8863414891244389E+01	  +6.1344300622058210E+04	  +6.7216800600602830E+04	
  +7.7500000000000000E+00	  +1.5148238638082944E+01	  +6.9292652210474827E+01	  +6.1727511523158246E+04	  +6.7635855988052514E+04	
  +7.8750000000000000E+00	  +1.5216401259054797E+01	  +6.9604824029736861E+01	  +6.2005984666738914E+04	  +6.7940682673132629E+04	
  +8.0000000000000000E+00	  +1.5292514292910663E+01	  +6.9965992598532907E+01	  +6.2315930335753481E+04	  +6.8293798667818977E+04	
  +8.1250000000000000E+00	  +1.5357327025200208E+01	  +7.0270520485355235E+01	  +6.2583972411134819E+04	  +6.8591374482615982E+04	
  +8.2500000000000000E+00	  +1.5578581074982861E+01	  +7.1289695473906946E+01	  +6.3494379102810592E+04	  +6.9589953945189161E+04	
  +8.3750000000000000E+00	  +1.5876954518078449E+01	  +7.2703946775576568E+01	  +6.4716198901512966E+04	  +7.0969125647227469E+04	
  +8.5000000000000000E+00	  +1.6176584659439630E+01	  +7.4092065485417947E+01	  +6.5943251279816919E+04	  +7.2324783298249560E+04	
  +8.6250000000000000E+00	  +1.6499444653390160E+01	  +7.5582646259019228E+01	  +6.7263304518112302E+04	  +7.3780149063601420E+04	
  +8.7500000000000000E+00	  +1.6662745686019914E+01	  +7.6385251320866118E+01	  +6.7927369363435209E+04	  +7.4567073435590122E+04	
  +8.8750000000000000E+00	  +1.6759491737744973E+01	  +7.6802520848081087E+01	  +6.8323454971636529E+04	  +7.4973380934963818E+04	
  +9.0000000000000000E+00	  +1.6886032650435780E+01	  +7.7397326564663771E+01	  +6.8838933367304737E+04	  +7.5554669871141290E+04	
  +9.1250000000000000E+00	  +1.6988899010203372E+01	  +7.7861717610999136E+01	  +6.9259774635071022E+04	  +7.6007805534496467E+04	
  +9.2500000000000000E+00	  +1.7124593857487600E+01	  +7.8500248888610344E+01	  +6.9813745761127007E+04	  +7.6631831094535373E+04	
  +9.3750000000000000E+00	  +1.7287077272742419E+01	  +7.9259115234947373E+01	  +7.0477298468288194E+04	  +7.7373302483942505E+04	
  +9.5000000000000000E+00	  +1.7421922135524735E+01	  +7.9870210358186483E+01	  +7.1029140301252832E+04	  +7.7969570513702231E+04	
  +9.6250000000000000E+00	  +1.7593589202399283E+01	  +8.0677261656702072E+01	  +7.1729858764176359E+04	  +7.8758098790870004E+04	
  +9.7500000000000000E+00	  +1.7706874051595602E+01	  +8.1175932353789264E+01	  +7.2193692510927722E+04	  +7.9244074574367609E+04	
  +9.8750000000000000E+00	  +1.7800739813581036E+01	  +8.1601283672054336E+01	  +7.2576585227144373E+04	  +7.9659060516580503E+04	
  +1.0000000000000000E+01	  +1.7895032480139939E+01	  +8.2037050763395854E+01	  +7.2961658517052667E+04	  +8.0084593692025403E+04	
  +1.0125000000000000E+01	  +1.7985529991434976E+01	  +8.2456413575699500E+01	  +7.3331246281267129E+04	  +8.0494160907331476E+04	
  +1.0250000000000000E+01	  +1.8069591818143341E+01	  +8.2846711915999379E+01	  +7.3674475168936668E+04	  +8.0875502658882309E+04	
  +1.0375000000000000E+01	  +1.8145407321043084E+01	  +8.3187981309470615E+01	  +7.3982152937855950E+04	  +8.1208471428033459E+04	
  +1.0500000000000000E+01	  +1.8225185420437970E+01	  +8.3563650347777937E+01	  +7.4307212764847325E+04	  +8.1575350230523443E+04	
  +1.0625000000000000E+01	  +1.8291953242738749E+01	  +8.3867669122473274E+01	  +7.4579676793806590E+04	  +8.1872271743268313E+04	
  +1.0750000000000000E+01	  +1.8354117714457622E+01	  +8.4155660839572874E+01	  +7.4832929693014827E+04	  +8.2153228225939063E+04	
  +1.0875000000000000E+01	  +1.8428026128161601E+01	  +8.4502547763374523E+01	  +7.5134888800753790E+04	  +8.2492001995890867E+04	
  +1.1000000000000000E+01	  +1.8492911924961493E+01	  +8.4799931385275030E+01	  +7.5399360676455151E+04	  +8.2782387741243263E+04	
  +1.1125000000000000E+01	  +1.8558798031205590E+01	  +8.5107177844789916E+01	  +7.5668676581211010E+04	  +8.3082535483428102E+04	
  +1.1250000000000000E+01	  +1.8621441212373142E+01	  +8.5394906001393409E+01	  +7.5923220434589544E+04	  +8.3363824344057881E+04	
  +1.1375000000000000E+01	  +1.8682943971367362E+01	  +8.5682610265196701E+01	  +7.6174719999289460E+04	  +8.3644860640970131E+04	
  +1.1500000000000000E+01	  +1.8741576942322954E+01	  +8.5954247957054719E+01	  +7.6414095259109919E+04	  +8.3910188496642746E+04	
