 TIME                    	LPT3pin                  	LPT2pin                  	LPT1pin                  	LPT3mout                 	LPT2mout                 	LPT1mout                 	
  +0.0000000000000000E+00	  +2.4266110000000002E-01	  +5.5635550000000000E-01	  +3.1908304299999997E+00	  +4.2957195099240002E+04	  +1.0058497889211000E+05	  +1.1024083399284001E+05	
  +1.2500000000000000E-01	  +2.2456191997910704E-01	  +2.2456191997910704E-01	  +2.2456191997910704E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E-01	  +2.2456191997910704E-01	  +5.3055890012481077E-01	  +1.2970645876891718E+00	  +0.0000000000000000E+00	  +1.5388640899628515E+04	  +1.6460308882072382E+04	
  +3.7500000000000000E-01	  +2.2456191997910704E-01	  +5.7886457623419707E-01	  +1.4359818849766168E+00	  +0.0000000000000000E+00	  +1.7080231472254472E+04	  +1.8280644752781929E+04	
  +5.0000000000000000E-01	  +2.2456191997910704E-01	  +6.2713685251715945E-01	  +1.5734560258651769E+00	  +0.0000000000000000E+00	  +1.8745621672839185E+04	  +2.0073126402509042E+04	
  +6.2500000000000000E-01	  +2.2456191997910704E-01	  +6.7681979125351432E-01	  +1.7123940522875545E+00	  +0.0000000000000000E+00	  +2.0440000913753967E+04	  +2.1879916625562695E+04	
  +7.5000000000000000E-01	  +2.2456191997910704E-01	  +7.2679671906886445E-01	  +1.8512455197284290E+00	  +0.0000000000000000E+00	  +2.2128858223921208E+04	  +2.3682775854557538E+04	
  +8.7500000000000000E-01	  +2.2456191997910704E-01	  +7.7667762052244782E-01	  +1.9903595707186306E+00	  +0.0000000000000000E+00	  +2.3802222878367429E+04	  +2.5490619653707334E+04	
  +1.0000000000000000E+00	  +2.2456191997910704E-01	  +8.2783613376959109E-01	  +2.1317283289804694E+00	  +0.0000000000000000E+00	  +2.5508262172694784E+04	  +2.7319432219781775E+04	
  +1.1250000000000000E+00	  +2.2547468350333871E-01	  +8.8076466652024321E-01	  +2.2724123828529232E+00	  +0.0000000000000000E+00	  +2.7256795052570113E+04	  +2.9137202173582362E+04	
  +1.2500000000000000E+00	  +2.2737067234995326E-01	  +9.3517631963195647E-01	  +2.4149292873681105E+00	  +0.0000000000000000E+00	  +2.9039941875929377E+04	  +3.0970051086009014E+04	
  +1.3750000000000000E+00	  +2.3025528023487363E-01	  +9.8364283078674652E-01	  +2.5486076248804661E+00	  +1.7384106710465567E+03	  +3.0615383856295066E+04	  +3.2697530627922781E+04	
  +1.5000000000000000E+00	  +2.3417173402106997E-01	  +1.0040183984935915E+00	  +2.6028340311082925E+00	  +3.0538660322254618E+03	  +3.1253275427040186E+04	  +3.3392444800672907E+04	
  +1.6250000000000000E+00	  +2.3756164054837181E-01	  +1.0289342922032976E+00	  +2.6677017666808220E+00	  +4.1718357232133421E+03	  +3.2050260320106427E+04	  +3.4229372683362868E+04	
  +1.7500000000000000E+00	  +2.3948296638265673E-01	  +1.0532302183213518E+00	  +2.7344909433755635E+00	  +4.9144809731816094E+03	  +3.2835108547190619E+04	  +3.5094855486270069E+04	
  +1.8750000000000000E+00	  +2.4206635884024161E-01	  +1.0813266475480567E+00	  +2.8116717792611254E+00	  +5.7715649832528834E+03	  +3.3739217844665400E+04	  +3.6094863698410532E+04	
  +2.0000000000000000E+00	  +2.4471941338931238E-01	  +1.1066464908179383E+00	  +2.8810184645216972E+00	  +6.5436269110787252E+03	  +3.4551376084656331E+04	  +3.6992917995749289E+04	
  +2.1250000000000000E+00	  +2.4878668979504870E-01	  +1.1323565099744459E+00	  +2.9501146749466529E+00	  +7.4672199903199726E+03	  +3.5366014371794146E+04	  +3.7884934473591784E+04	
  +2.2500000000000000E+00	  +2.5391274574315664E-01	  +1.1545221901592371E+00	  +3.0084261170926374E+00	  +8.4250407649088083E+03	  +3.6056832800169912E+04	  +3.8635011478219152E+04	
  +2.3750000000000000E+00	  +2.5892605343035335E-01	  +1.1732701288600289E+00	  +3.0583603649725242E+00	  +9.2767810843950538E+03	  +3.6638239402315703E+04	  +3.9278678275280537E+04	
  +2.5000000000000000E+00	  +2.6436404338090347E-01	  +1.1926303956725481E+00	  +3.1082441100125791E+00	  +1.0151563749224642E+04	  +3.7234618509179141E+04	  +3.9918046380120235E+04	
  +2.6250000000000000E+00	  +2.6860473697184656E-01	  +1.2108837715184084E+00	  +3.1544744046314084E+00	  +1.0847909307115242E+04	  +3.7804215860203571E+04	  +4.0515217694849627E+04	
  +2.7500000000000000E+00	  +2.7144085545048063E-01	  +1.2284397970490877E+00	  +3.2044692355520072E+00	  +1.1355763727126945E+04	  +3.8357779040614943E+04	  +4.1159130422037597E+04	
  +2.8750000000000000E+00	  +2.7541065147362076E-01	  +1.2496247442069517E+00	  +3.2586559756340225E+00	  +1.2038934720557332E+04	  +3.9026973702050280E+04	  +4.1853881827646968E+04	
  +3.0000000000000000E+00	  +2.7825724087659914E-01	  +1.2665244106711548E+00	  +3.3031083066951208E+00	  +1.2511566659053369E+04	  +3.9558473552770789E+04	  +4.2431493539118041E+04	
  +3.1250000000000000E+00	  +2.8419383576019919E-01	  +1.2862072481338309E+00	  +3.3569945036153230E+00	  +1.3338878514099844E+04	  +4.0162485081919105E+04	  +4.3123444540861165E+04	
  +3.2500000000000000E+00	  +2.9125949653370725E-01	  +1.3003607102793791E+00	  +3.3882983276345846E+00	  +1.4186904656677394E+04	  +4.0573665374316421E+04	  +4.3513098480731118E+04	
  +3.3750000000000000E+00	  +2.9746517222540936E-01	  +1.3099090711355963E+00	  +3.4099006113934935E+00	  +1.4876184483775418E+04	  +4.0836782422325850E+04	  +4.3783244413551933E+04	
  +3.5000000000000000E+00	  +3.0438319204098457E-01	  +1.3223721166531270E+00	  +3.4369918205886707E+00	  +1.5646316054120845E+04	  +4.1193265499380075E+04	  +4.4124064462202979E+04	
