Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);ZONE ONE:Zone Air Temperature [C](Hourly);RADIATOR:Baseboard Total Heating Rate [W](Hourly);RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly);RADIATOR:Baseboard Water Inlet Temperature [C](Hourly);RADIATOR:Baseboard Water Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Rate [W](Hourly);DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly);DistrictHeating:Facility [J](Hourly) 
 01/25  01:00:00;-7.593333333;19.02543884;970.2668057;0.04262586;55;46.28303087;1553.079085;46.28363931;55;0.04262586;5591084.706
 01/25  02:00:00;-9.493333333;19.02830301;1055.784735;0.047540723;55;46.50255937;1715.703946;46.36619672;55;0.047540723;6176534.204
 01/25  03:00:00;-9.293333333;19.02898882;1078.51829;0.048888242;55;46.56280101;1742.401515;46.47413593;55;0.048888242;6272645.453
 01/25  04:00:00;-9.093333333;19.02916759;1076.717054;0.048777576;55;46.55791721;1724.690539;46.54172035;55;0.048777576;6208885.94
 01/25  05:00:00;-8.84;19.02892789;1079.388643;0.04894683;55;46.56541668;1722.791906;46.58027291;55;0.04894683;6202050.863
 01/25  06:00:00;-8.593333333;19.02860465;1071.407369;0.048465108;55;46.54387869;1702.352631;46.59746031;55;0.048465108;6128469.473
 01/25  07:00:00;-8.34;19.02806464;1052.231993;0.047312882;55;46.49237892;1663.245152;46.59053085;55;0.047312882;5987682.545
 01/25  08:00:00;-7.986666667;19.0279181;1044.204151;0.04683767;55;46.47115394;1650.388087;46.57087614;55;0.04683767;5941397.113
 01/25  09:00:00;-7.586666667;19.02784289;1036.337738;0.046375478;55;46.45049982;1637.703748;46.55226751;55;0.046375478;5895733.494
 01/25  10:00:00;-7.186666667;19.02682855;1012.670432;0.04500192;55;46.38903633;1594.504376;46.52396535;55;0.04500192;5740215.755
 01/25  11:00:00;-6.786666667;19.02579805;977.3741648;0.043003426;55;46.29983818;1532.233212;46.47632285;55;0.043003426;5516039.563
 01/25  12:00:00;-6.386666667;19.02475412;942.8365696;0.041096068;55;46.21504061;1475.069142;46.4134754;55;0.041096068;5310248.911
 01/25  13:00:00;-5.986666667;19.02396244;920.6660684;0.039898274;55;46.16203395;1442.658926;46.3501205;55;0.039898274;5193572.133
 01/25  14:00:00;-5.8;19.02390237;916.8914492;0.039696471;55;46.15314743;1443.676321;46.30012428;55;0.039696471;5197234.755
 01/25  15:00:00;-5.8;19.02423929;931.7842361;0.040497171;55;46.18845416;1476.981173;46.27538286;55;0.040497171;5317132.222
 01/25  16:00:00;-5.853333333;19.02484217;951.8978754;0.041590809;55;46.2369086;1516.554602;46.27713225;55;0.041590809;5459596.567
 01/25  17:00:00;-5.9;19.02533376;963.8512928;0.042248294;55;46.26614464;1537.42295;46.29474906;55;0.042248294;5534722.621
 01/25  18:00:00;-5.9;19.02522992;961.7561298;0.042131119;55;46.26093521;1530.677694;46.30885402;55;0.042131119;5510439.698
 01/25  19:00:00;-5.9;19.02518321;958.110889;0.041929317;55;46.2519909;1522.613914;46.31302642;55;0.041929317;5481410.09
 01/25  20:00:00;-5.846666667;19.02506165;955.6966141;0.041799121;55;46.24618366;1517.634183;46.3144681;55;0.041799121;5463483.059
 01/25  21:00:00;-5.746666667;19.0248852;949.6763166;0.041467124;55;46.23143867;1506.370641;46.30990344;55;0.041467124;5422934.308
 01/25  22:00:00;-5.646666667;19.02497267;945.3632868;0.041232773;55;46.22110004;1499.125843;46.30254063;55;0.041232773;5396853.035
 01/25  23:00:00;-5.493333333;19.02464488;939.4225371;0.040907285;55;46.20663953;1488.862989;46.29334589;55;0.040907285;5359906.76
 01/25  24:00:00;-5.346666667;19.0244216;933.0996487;0.040562268;55;46.19137126;1478.280561;46.28169623;55;0.040562268;5321810.021
 01/26  01:00:00;-5.246666667;19.02420976;928.3727374;0.040308388;55;46.18013654;1471.042003;46.26973849;55;0.040308388;5295751.21
 01/26  02:00:00;-5.573333333;19.02426555;933.0709114;0.040562268;55;46.19132745;1481.765998;46.26114126;55;0.040562268;5334357.592
 01/26  03:00:00;-6.273333333;19.024914;955.0430434;0.041766573;55;46.24470268;1524.213717;46.26993989;55;0.041766573;5487169.381
