Date/Time,DistrictHeating:Facility [J](Hourly) 
 01/25  01:00:00,5591084.705744928 
 01/25  02:00:00,6176534.203853227 
 01/25  03:00:00,6272645.453353296 
 01/25  04:00:00,6208885.940331792 
 01/25  05:00:00,6202050.8632011129 
 01/25  06:00:00,6128469.473029268 
 01/25  07:00:00,5987682.545438704 
 01/25  08:00:00,5941397.112909236 
 01/25  09:00:00,5895733.4941410389 
 01/25  10:00:00,5740215.754514124 
 01/25  11:00:00,5516039.563264531 
 01/25  12:00:00,5310248.911037256 
 01/25  13:00:00,5193572.132602501 
 01/25  14:00:00,5197234.755383076 
 01/25  15:00:00,5317132.2223876169 
 01/25  16:00:00,5459596.5674329339 
 01/25  17:00:00,5534722.620654587 
 01/25  18:00:00,5510439.697831312 
 01/25  19:00:00,5481410.090332098 
 01/25  20:00:00,5463483.059160795 
 01/25  21:00:00,5422934.307567577 
 01/25  22:00:00,5396853.035071548 
 01/25  23:00:00,5359906.760284123 
 01/25  24:00:00,5321810.020674792 
 01/26  01:00:00,5295751.210227422 
 01/26  02:00:00,5334357.592311733 
 01/26  03:00:00,5487169.380591183 
 01/26  04:00:00,5621332.042867435 
 01/26  05:00:00,5774606.077648437 
 01/26  06:00:00,5929709.9873279989 
 01/26  07:00:00,6079753.025822512 
 01/26  08:00:00,6187791.3101364229 
 01/26  09:00:00,6193946.4626966449 
 01/26  10:00:00,6079812.582007708 
 01/26  11:00:00,5919826.422565524 
 01/26  12:00:00,5815711.630902306 
 01/26  13:00:00,5762116.067817707 
 01/26  14:00:00,4786025.172395734 
 01/26  15:00:00,4341230.13798933 
 01/26  16:00:00,5631336.974429156 
 01/26  17:00:00,6472179.167336567 
 01/26  18:00:00,6399809.995720288 
 01/26  19:00:00,6370041.582902513 
 01/26  20:00:00,6368169.886146303 
 01/26  21:00:00,6381912.008015305 
 01/26  22:00:00,6404319.3347757 
 01/26  23:00:00,6430107.004326945 
 01/26  24:00:00,6456711.518982466 
 01/27  01:00:00,6483410.437123761 
 01/27  02:00:00,6509812.23832513 
 01/27  03:00:00,6531797.853769985 
 01/27  04:00:00,6544753.659243828 
 01/27  05:00:00,6550296.262270264 
 01/27  06:00:00,6554876.879744393 
 01/27  07:00:00,6557148.534184942 
 01/27  08:00:00,6555117.945321157 
 01/27  09:00:00,6546181.884104328 
 01/27  10:00:00,6521899.955962531 
 01/27  11:00:00,6470756.238999622 
 01/27  12:00:00,6103829.934220306 
 01/27  13:00:00,5391666.1367506 
 01/27  14:00:00,5293466.8790792929 
 01/27  15:00:00,5743758.445575744 
 01/27  16:00:00,6227785.596093623 
 01/27  17:00:00,6370732.160646133 
 01/27  18:00:00,6326964.788107828 
 01/27  19:00:00,6288243.415344743 
 01/27  20:00:00,6090903.247746036 
 01/27  21:00:00,5833316.205117411 
 01/27  22:00:00,5566664.515423869 
 01/27  23:00:00,5376646.0496262819 
 01/27  24:00:00,5287568.779352748 
