Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE LIGHTS:Lights Electric Energy [J](Hourly),ZONE ONE:Zone Air Temperature [C](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/01  01:00:00,4.0,180000.0,18.213117227218807,0.004545434755859374,59.7659882722224,22.638358784400226,542.2199263384208,22.67655881358439,51.21505609424072,0.004545434755859374,1951991.734818315 
 01/01  02:00:00,5.3,180000.0,18.197775418194579,0.004101144140625,59.33427801038836,22.378600866842136,489.27784931597446,22.673250761597104,51.21505609424072,0.004101144140625,1761400.257537508 
 01/01  03:00:00,6.2,180000.0,18.1786781320665,0.0036995737768554684,58.91799227707398,22.148246137901198,409.87450248459637,22.659175525024766,49.1642814132104,0.0036995737768554684,1475548.2089445468 
 01/01  04:00:00,6.8,180000.0,18.167699352982824,0.003460340368652343,58.50662727662048,21.981963398381504,382.72536987970696,22.638364030187238,49.09885515409343,0.003460340368652343,1377811.331566945 
 01/01  05:00:00,7.2,180000.0,18.158210118504308,0.003289459362792968,58.133449136895539,21.856438164802264,364.5520273848874,22.613715284682156,49.12699394687835,0.003289459362792968,1312387.2985855947 
 01/01  06:00:00,7.5,180000.0,18.15033945854741,0.0031783867089843749,57.788999189899829,21.762543923653156,351.8056880165706,22.58681401533717,49.06714731184021,0.0031783867089843749,1266500.4768596544 
 01/01  07:00:00,7.5,180000.0,18.149265722372549,0.0031612986083984376,57.46302902239134,21.716724387647234,350.0007885128541,22.558812788262658,49.04562332950682,0.0031612986083984376,1260002.8386462748 
 01/01  08:00:00,6.7,180000.0,18.16099838999654,0.0034261641674804687,57.13738782231371,21.807198679297799,379.7862506805204,22.531782009428903,49.05071881387924,0.0034261641674804687,1367230.5024498737 
 01/01  09:00:00,6.0,180000.0,18.171632314495697,0.0037593821289062499,56.79497407112552,21.92863900867772,416.20154390105798,22.508009803563387,48.99369820918238,0.0037593821289062499,1498325.5580438087 
 01/01  10:00:00,5.2,180000.0,18.1781007730999,0.003921719084472655,56.443626381230419,21.96955627595605,434.5205194590835,22.487238249892405,48.99401963708549,0.003921719084472655,1564273.8700527007 
 01/01  11:00:00,5.2,180000.0,18.15557622876444,0.0033748998657226558,56.123162873901069,21.712992862747848,373.56643836274159,22.464085711916665,48.94476891534586,0.0033748998657226558,1344839.1781058696 
 01/01  12:00:00,5.2,180000.0,18.134257677656718,0.002981873552246094,55.8542809071151,21.487882771408914,330.45849540563577,22.435620330943455,48.94800185399752,0.002981873552246094,1189650.5834602887 
 01/01  13:00:00,5.2,180000.0,18.128012805761757,0.002785360395507812,55.618604810342329,21.352577524046468,308.77915689420197,22.40444455421904,48.92522669252044,0.002785360395507812,1111604.964819127 
 01/01  14:00:00,4.6,180000.0,18.12856456458289,0.0028280806469726555,55.39603079763984,21.347906972805768,313.26853338645619,22.37274332505782,48.87259319755938,0.0028280806469726555,1127766.7201912422 
 01/01  15:00:00,4.1,180000.0,18.165702099425955,0.004118232241210938,55.13020223163352,21.872703138415788,456.4983104421167,22.34767443177711,48.865977390120907,0.004118232241210938,1643393.91759162 
 01/01  16:00:00,3.5,180000.0,18.21263392844724,0.005109342075195311,54.79238547483919,22.216278306543694,565.4166618708168,22.337662284696579,48.81172502983115,0.005109342075195311,2035499.9827349405 
 01/01  17:00:00,3.2,180000.0,18.23111046305062,0.005562176740722655,54.421754407016809,22.357243830354486,615.3806147540935,22.34075971618934,48.80845505811803,0.005562176740722655,2215370.2131147368 
 01/01  18:00:00,2.9,180000.0,18.24203457466339,0.005844130400390625,54.049695926578298,22.41314791251357,645.5678242774992,22.35018843934187,48.77667768382407,0.005844130400390625,2324044.167398997 
 01/01  19:00:00,2.6,180000.0,18.244835406260326,0.006032099506835937,53.687597552639669,22.432931788199168,666.6032874332362,22.361896456341005,48.79918631970124,0.006032099506835937,2399771.8347596505 
 01/01  20:00:00,2.5,180000.0,18.248127071396647,0.0061517162109375,53.34289590207494,22.426826324205849,679.2842743220004,22.37353030883529,48.78993628677183,0.0061517162109375,2445423.3875592018 
 01/01  21:00:00,2.4,180000.0,18.246940212057436,0.006220068613281249,53.017974551000438,22.408748825097406,687.3136756029497,22.383633483612124,48.818595576531617,0.006220068613281249,2474329.232170619 
 01/01  22:00:00,2.3,180000.0,18.24867034942123,0.006288421015624999,52.7143775652505,22.38886680995762,694.5422957586613,22.391740085376968,48.81438611974076,0.006288421015624999,2500352.264731181 
 01/01  23:00:00,2.3,180000.0,18.247978772414944,0.006348229367675781,52.43014550288179,22.371260484959348,701.6381856728623,22.39796796502186,48.839102438423278,0.006348229367675781,2525897.4684223046 
 01/01  24:00:00,2.2,180000.0,18.251208255468439,0.006459302021484373,52.16432879396541,22.366576111341396,713.6336385186694,22.40299912831109,48.83374436167262,0.006459302021484373,2569081.09866721 
