 TIME                    	Tsypply_DH               	Qp_SH                    	Qp_EVA                   	Qp_ECO                   	Qth2TES                  	
  +0.0000000000000000E+00	  +2.5000000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000002E-01	  +0.0000000000000000E+00	  +1.0000000000000000E+06	
  +1.2500000000000000E-01	  +5.1215056094240722E+01	  +4.9872496866462253E+07	  +3.9634895439119861E+07	  +5.5800068530624337E+07	  +9.4600000000000000E+05	
  +2.5000000000000000E-01	  +4.9164281413210404E+01	  +5.0479474601049095E+07	  +3.9533203497038320E+07	  +5.6236494522290476E+07	  +9.1818217439453129E+05	
  +3.7500000000000000E-01	  +4.9098855154093428E+01	  +5.0356017771771550E+07	  +3.9539869927145950E+07	  +5.6174422960385241E+07	  +9.2617940546875005E+05	
  +5.0000000000000000E-01	  +4.9126993946878351E+01	  +5.0433685525249340E+07	  +3.9553887228939965E+07	  +5.6213696075978227E+07	  +9.3340767201660154E+05	
  +6.2500000000000000E-01	  +4.9067147311840216E+01	  +5.0361405719380900E+07	  +3.9540874915245064E+07	  +5.6176963862851106E+07	  +9.3771387336425786E+05	
  +7.5000000000000000E-01	  +4.9045623329506810E+01	  +5.0428867534313038E+07	  +3.9552984542029060E+07	  +5.6211234666642956E+07	  +9.4078973146972654E+05	
  +8.7500000000000000E-01	  +4.9050718813879236E+01	  +5.0365853324222349E+07	  +3.9541682112654999E+07	  +5.6179231004713289E+07	  +9.4278903923828120E+05	
  +1.0000000000000000E+00	  +4.8993698209182377E+01	  +5.0424715028325982E+07	  +3.9552239398429602E+07	  +5.6209125012530439E+07	  +9.4309662504882808E+05	
  +1.1250000000000000E+00	  +4.8994019637085493E+01	  +5.0369729179308243E+07	  +3.9542377815930858E+07	  +5.6181199871459961E+07	  +9.3832904498535162E+05	
  +1.2500000000000000E+00	  +4.8944768915345861E+01	  +5.0421102825624250E+07	  +3.9551590044740900E+07	  +5.6207286610071972E+07	  +9.3233112167968752E+05	
  +1.3750000000000000E+00	  +4.8948001853997518E+01	  +5.0421102825624250E+07	  +3.9542982997780211E+07	  +5.6182915528462760E+07	  +9.2940905647949222E+05	
  +1.5000000000000000E+00	  +4.8925226692520440E+01	  +5.0373107974827915E+07	  +3.9551023967504926E+07	  +5.6207187579027005E+07	  +9.3925180241699214E+05	
  +1.6250000000000000E+00	  +4.8872593197559382E+01	  +5.0417943066696785E+07	  +3.9543512378025211E+07	  +5.6183954776572280E+07	  +9.4632627605957026E+05	
  +1.7500000000000000E+00	  +4.8865977390120904E+01	  +5.0374763095190004E+07	  +3.9550746671659611E+07	  +5.6204928700540066E+07	  +9.4986351288085943E+05	
  +1.8750000000000000E+00	  +4.8811725029831152E+01	  +5.0416590562580466E+07	  +3.9543738974096902E+07	  +5.6185097660866402E+07	  +9.4909454835449217E+05	
  +2.0000000000000000E+00	  +4.8808455058118028E+01	  +5.0377311706407674E+07	  +3.9550319681986734E+07	  +5.6203592971590824E+07	  +9.2587181965820317E+05	
  +2.1250000000000000E+00	  +4.8776677683824055E+01	  +5.0413968294062078E+07	  +3.9544178304179542E+07	  +5.6186411201267585E+07	  +9.0803184264648438E+05	
  +2.2500000000000000E+00	  +4.8799186319701235E+01	  +5.0379843292298235E+07	  +3.9549895544706099E+07	  +5.6202374425401367E+07	  +8.9988081866699224E+05	
  +2.3750000000000000E+00	  +4.8789936286771827E+01	  +5.0411562663305707E+07	  +3.9544581339166827E+07	  +5.6187549986642942E+07	  +8.9480565279296879E+05	
  +2.5000000000000000E+00	  +4.8818595576531621E+01	  +5.0382096618873857E+07	  +3.9549518026483335E+07	  +5.6201314071915530E+07	  +8.9142220887695311E+05	
  +2.6250000000000000E+00	  +4.8814386119740760E+01	  +5.0409449842362083E+07	  +3.9544935317332387E+07	  +5.6188537711598255E+07	  +8.8926910820312495E+05	
  +2.7500000000000000E+00	  +4.8839102438423268E+01	  +5.0384052047430702E+07	  +3.9549190417551048E+07	  +5.6200398687972724E+07	  +8.8803876496093755E+05	
  +2.8750000000000000E+00	  +4.8833744361672615E+01	  +5.0407634263323896E+07	  +3.9545239496131510E+07	  +5.6189387371209562E+07	  +8.8680842171875003E+05	
  +3.0000000000000000E+00	  +4.8852472016460226E+01	  +5.0385747556013286E+07	  +3.9548906355136968E+07	  +5.6199608020450756E+07	  +8.8573187138183601E+05	
