 TIME                    	Tsypply_DH               	QfromCOG                 	QfromHOB                 	QfromFGC                 	
  +0.0000000000000000E+00	  +2.5000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.2500000000000000E-01	  +7.6220608753082416E+01	  +1.0916601713309015E+08	  +2.3301858669098183E+06	  +0.0000000000000000E+00	
  +2.5000000000000000E-01	  +1.1512191603443972E+02	  +1.0616883688412215E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +3.7500000000000000E-01	  +1.1942566310751916E+02	  +1.0539654320053622E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.0000000000000000E-01	  +1.2336872940399579E+02	  +1.0417316201206441E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.2500000000000000E-01	  +1.2486883065772753E+02	  +1.0193073839419155E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.5000000000000000E-01	  +1.2594572259122168E+02	  +1.0052462066440313E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7500000000000000E-01	  +1.2665962405677435E+02	  +9.9719067460736126E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  +1.2665962389071802E+02	  +1.0000415891664526E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.1250000000000000E+00	  +1.2463553423943591E+02	  +1.0351291865346368E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.2500000000000000E+00	  +1.2049299329574899E+02	  +1.0535944079175124E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.3750000000000000E+00	  +1.1834137595299416E+02	  +1.0574338969014318E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.5000000000000000E+00	  +1.2468072097059789E+02	  +1.0442468415190361E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.6250000000000000E+00	  +1.2762672488487175E+02	  +1.0008826217229293E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.7500000000000000E+00	  +1.2910697714862789E+02	  +9.8253498216478840E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.8750000000000000E+00	  +1.2852511752884959E+02	  +9.9327120352022722E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  +1.1362852490320886E+02	  +1.0637922880065452E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.1250000000000000E+00	  +1.0373056228989449E+02	  +1.0752895466522102E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.2500000000000000E+00	  +9.9817510437310062E+01	  +1.0810617815357414E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.3750000000000000E+00	  +9.7459478251212843E+01	  +1.0833328506908563E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E+00	  +9.5728313444217946E+01	  +1.0862893094447796E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.6250000000000000E+00	  +9.4736645226617554E+01	  +1.0869911268563700E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.7500000000000000E+00	  +9.3985503509844847E+01	  +1.0886319273855592E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.8750000000000000E+00	  +9.3284392243976612E+01	  +1.0890238719958325E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +3.0000000000000000E+00	  +9.2650563937946472E+01	  +1.0904074974667829E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
